apogee_id,teff,logg,m_h,mass,age,distance,age_gyr
2M00443718+4040456,3786.699,0.7855553,-0.68193,1.04713,6139421000.0,-9999.0,6.139421
2M01362271+5415023,3582.424,0.6148623,-0.30984,1.198713,4835390000.0,-9999.0,4.83539
2M03585942+5611127,5013.6,2.766265,-2.3933,1.022559,6043282000.0,-9999.0,6.043282
2M04052283+4911567,3456.346,0.5055646,-0.34614,1.139552,5580977000.0,-9999.0,5.580977
2M19361890+2932500,4875.305,2.577446,-0.16013,1.352093,3614378000.0,-9999.0,3.614378
2M19440526+2326478,4694.507,2.366679,0.087208,1.795243,1920685000.0,-9999.0,1.920685
2M19563154+3106201,3955.769,1.796372,-0.32431,1.055907,7331211000.0,-9999.0,7.331211
2M20063994+3314280,3792.242,1.010622,-0.13703,1.310687,4067422000.0,-9999.0,4.067422
2M21510198+1237320,3724.849,1.339452,-0.47218,1.011711,7722431000.0,-9999.0,7.722431
2M23261483+5810546,5424.058,0.6189197,-0.48716,2.081414,1001821000.0,-9999.0,1.001821
2M23333994+4849059,3618.854,0.6174031,-0.33379,1.142204,5582880000.0,-9999.0,5.58288
2M00120998-1756177,4057.223,1.543483,0.09722,1.840373,1837985000.0,-9999.0,1.837985
2M00182075+3023452,4492.34,2.44489,0.0028396,1.110264,7951435000.0,-9999.0,7.951435
2M00254772+0707595,4198.215,1.568771,-0.16434,1.106566,7010152000.0,-9999.0,7.010152
2M00273168+3535143,3452.234,0.09973592,-0.82641,0.7080801,22457870000.0,-9999.0,22.45787
2M00383338+2918431,5038.613,2.522847,-0.55979,1.079712,5884400000.0,-9999.0,5.8844
2M01025662+0753247,4897.179,2.518188,-0.27962,1.351272,3342772000.0,-9999.0,3.342772
2M01040448+3841187,3675.671,0.6878917,-0.43925,1.085591,6191956000.0,-9999.0,6.191956
2M01041945+6134487,5771.224,3.345026,-0.093246,1.936055,1394275000.0,-9999.0,1.394275
2M01051223+1911522,3652.013,0.9238028,0.0059764,1.262565,5156536000.0,-9999.0,5.156536
2M01054129+8719084,4708.826,2.585471,0.056633,1.328667,4614040000.0,-9999.0,4.61404
2M01070015+5656058,4536.144,2.537961,0.092767,1.141383,7972727000.0,-9999.0,7.972727
2M01094391+3537137,3930.647,1.091074,-0.30185,1.439203,2696472000.0,-9999.0,2.696472
2M01112722+2102047,4931.557,2.573431,-0.03542,2.308415,981257300.0,-9999.0,0.9812573
2M01161893+3306531,4705.38,2.566188,0.24187,1.763983,2271843000.0,-9999.0,2.271843
2M01194468+0609427,3574.299,0.6458204,-0.11428,1.182574,5817743000.0,-9999.0,5.817743
2M01301114+0608377,4106.592,1.716425,-0.37309,0.9551927,10066990000.0,-9999.0,10.06699
2M01335435+3536293,3680.888,0.8644678,-0.12936,1.150212,6314051000.0,-9999.0,6.314051
2M01335585+5913554,4891.365,2.539207,-0.22688,1.315198,3777316000.0,-9999.0,3.777316
2M01344905+1827378,3864.808,1.052957,-0.075633,1.154341,6508477000.0,-9999.0,6.508477
2M01355254+4104350,4695.743,2.561286,0.018221,1.08716,8673972000.0,-9999.0,8.673972
2M01391546+1417081,4593.911,2.504373,-0.26121,1.068743,7349987000.0,-9999.0,7.349987
2M01450060+5847286,4911.108,2.509732,-0.33134,1.283698,3818052000.0,-9999.0,3.818052
2M01545578+2750305,5015.607,2.934454,0.098911,2.48251,877822800.0,-9999.0,0.8778228
2M02125999+0850478,5106.946,2.55453,-0.17409,2.625131,627249000.0,-9999.0,0.627249
2M02475454+2914492,4709.998,2.538152,0.070575,1.242653,5861154000.0,-9999.0,5.861154
2M02590369+3510592,4451.78,2.034184,-0.10294,1.279088,4519769000.0,-9999.0,4.519769
2M03044065+1551215,4304.093,1.711097,-0.14465,1.04521,8667904000.0,-9999.0,8.667904
2M03051057+3850243,3619.32,0.6781068,-0.42747,1.074237,6462974000.0,-9999.0,6.462974
2M03113776+1943360,4880.276,2.771569,0.11001,2.133858,1353880000.0,-9999.0,1.35388
2M03535489+1536415,3596.611,0.7972251,-0.17675,1.151454,6068096000.0,-9999.0,6.068096
2M04044170+2204549,4819.438,2.628219,0.091002,1.984946,1533033000.0,-9999.0,1.533033
2M04202463+3434002,5014.943,3.001354,0.11776,2.346095,1061705000.0,-9999.0,1.061705
2M04242550+2901114,3716.59,1.036569,-0.15293,1.201914,5350876000.0,-9999.0,5.350876
2M04355524+1630331,3982.441,1.404772,-0.10794,1.224378,5204929000.0,-9999.0,5.204929
2M04474794+2208218,3624.081,0.743965,-0.037879,1.173586,6345282000.0,-9999.0,6.345282
2M05022869+4104329,4066.148,1.43351,-0.05543,1.364424,3784984000.0,-9999.0,3.784984
2M05032304+5037581,3470.876,0.1033884,-0.84775,0.9193546,8971593000.0,-9999.0,8.971593
2M05093674+6938219,4680.061,2.531244,-0.015581,1.075309,8741873000.0,-9999.0,8.741873
2M05191659+2205475,5075.087,2.983189,0.053476,2.359799,975890700.0,-9999.0,0.9758907
2M05234329+5605202,4703.264,2.289208,-0.45746,1.327934,3181649000.0,-9999.0,3.181649
2M05270744+3408586,3287.415,0.770754,-1.0975,0.9034263,8817211000.0,-9999.0,8.817211
2M06344463+4230128,3893.121,-0.1261452,-1.0699,0.1925471,22220210000.0,-9999.0,22.22021
2M06482229+0532296,3718.234,0.5309193,-0.29752,1.255482,4191901000.0,-9999.0,4.191901
2M06551520+4549351,5012.256,3.152194,0.058457,1.928213,1548965000.0,-9999.0,1.548965
2M07232854+2503021,5194.801,3.305907,0.029384,2.169098,1191712000.0,-9999.0,1.191712
2M07240847+4040206,4615.757,2.099659,0.037524,1.449236,3383080000.0,-9999.0,3.38308
2M07364702+5545181,4663.722,2.71857,0.094832,1.447255,3731425000.0,-9999.0,3.731425
2M07405852+2301067,4027.613,1.578017,0.14028,1.527272,3548172000.0,-9999.0,3.548172
2M07432219+2223582,5035.179,3.131374,-0.0019786,1.989916,1384454000.0,-9999.0,1.384454
2M07565946+1547250,4423.913,2.123178,0.09043,1.542936,3019992000.0,-9999.0,3.019992
2M08004732+1718313,4408.829,1.945764,-0.023319,1.675234,2041778000.0,-9999.0,2.041778
2M08004810+1948583,4716.813,2.282922,0.001555,1.478618,3049498000.0,-9999.0,3.049498
2M08021108+2638162,5061.759,3.177359,0.12462,2.073177,1487321000.0,-9999.0,1.487321
2M08072540+5518051,4775.814,2.767421,0.18591,1.813542,2421739000.0,-9999.0,2.421739
2M08102717+2530268,5218.191,3.489051,-0.070071,1.604966,2244735000.0,-9999.0,2.244735
2M08401279+6419405,4517.833,2.207837,-0.17982,1.336106,3705817000.0,-9999.0,3.705817
2M08483954+1232489,3698.768,0.6829739,-0.14847,1.13814,6447964000.0,-9999.0,6.447964
