apogee_id,field,glon,glat,teff,logg,m_h,alpha_m,vmicro,vsini,r_arcmin
2M16345691+3608594,M13,58.4051551331508,42.2307931958506,5721.063,3.618846,-1.4085,0.2198753,2.029037,-9999.0,87.16189032468657
2M16350216+3644187,M13,59.1991493127345,42.2692037881599,4673.507,2.615298,-0.36152,0.228575,1.179707,-9999.0,82.33811171579165
2M16350370+3627499,M13,58.8302828902596,42.2386087167434,4848.257,2.036219,-1.5107,0.264535,1.507336,-9999.0,80.44251178490126
2M16351292+3606257,M13,58.3551028321251,42.1728884585502,4726.708,2.483476,-0.19457,0.210155,1.364426,-9999.0,85.35572161974568
2M16353489+3648385,M13,59.3095299562571,42.1669210199464,4812.265,3.313626,0.021434,0.120379,0.6564021,2.496031,77.5270734794147
2M16353866+3605134,M13,58.3400225809236,42.0846511404147,4968.031,2.894876,-0.55246,0.123273,0.3303695,-9999.0,81.13710715510746
2M16354179+3651021,M13,59.3659459801676,42.1476318646612,5038.68,2.443411,-0.66325,0.291365,1.552709,-9999.0,77.26803105812958
2M16354216+3633427,M13,58.9784152133946,42.1196924363293,4829.803,2.717782,-0.62308,0.307955,1.012948,-9999.0,72.6062821064821
2M16354366+3617363,M13,58.6189487959554,42.088678317342,5207.752,2.711091,-1.3671,0.314455,1.520863,-9999.0,74.51129465956743
2M16354556+3658238,M13,59.5322625811171,42.146082455516,4952.219,3.095773,-0.58567,0.247085,0.8232771,4.235259,80.51316007765735
2M16354705+3557273,M13,58.1705082043279,42.0431399019619,4476.231,2.192144,-0.42625,0.197485,1.376766,-9999.0,84.61388210399272
2M16354822+3640086,M13,59.1248498381972,42.1095773749184,4922.795,3.027541,-0.70907,0.306805,0.940717,-9999.0,72.30376829391537
2M16355193+3611091,M13,58.4785542707318,42.0502562142972,4754.362,3.255511,0.051062,0.113456,0.3513905,-9999.0,75.48130676295203
2M16355398+3640399,M13,59.1389570812106,42.0912382099773,4784.205,3.11908,-0.29939,0.239905,0.3432496,1.732008,71.29539322436658
2M16360010+3700559,M13,59.5947815191605,42.101607489536,4600.225,2.680657,0.043881,0.042242,1.032709,-9999.0,79.64189979760565
2M16360564+3641083,M13,59.1544434704825,42.0531947419191,4586.333,2.439244,0.22657,0.009398,1.209008,-9999.0,69.13703264401396
2M16361428+3710587,M13,59.8250902438402,42.0692788049014,4683.2,2.711904,-0.38715,0.248315,0.8288043,-9999.0,85.02868945920311
2M16361512+3720343,M13,60.0400230843269,42.0801133009746,4912.352,2.538004,-1.006,0.278205,1.248119,-9999.0,93.53291232988713
2M16362068+3635362,M13,59.0372130354529,41.9943855986864,4885.698,3.400271,-0.35228,0.238935,0.8243355,2.225871,65.08362031550877
2M16362343+3632059,M13,58.9601950761622,41.9795862884146,4738.664,2.520877,-0.67856,0.298595,1.386022,-9999.0,64.24471411478824
2M16362376+3553196,M13,58.0960691455259,41.9127146346799,4553.108,1.39808,-1.1791,0.236625,1.934194,-9999.0,81.40357782861645
2M16362726+3637298,M13,59.0823075846068,41.9754900320388,4708.074,2.564704,-0.45891,0.242625,1.240424,-9999.0,64.0764435857405
2M16363580+3619418,M13,58.6891269377732,41.917953669919,4569.791,2.437382,-0.2097,0.159385,1.275587,-9999.0,63.46769605049141
2M16363650+3706282,M13,59.7329909766499,41.9892192041345,4880.188,2.21841,-1.4401,0.295285,1.191418,-9999.0,77.94067073360101
2M16363993+3654060,M13,59.4581684326438,41.9592938949863,4952.189,2.463035,-0.42119,0.094343,1.695391,-9999.0,68.45977972113388
2M16364314+3630170,M13,58.9283550253251,41.910973584847,4755.402,2.759864,-0.5291,0.304015,1.033777,-9999.0,60.257866457617396
2M16364370+3717467,M13,59.98838935391,41.9818192615971,4078.829,1.137646,-0.77234,0.154645,1.904627,-9999.0,87.07325724095774
2M16364652+3536483,M13,57.7398454550149,41.8060881997231,4981.149,3.305853,-0.4711,0.304805,0.7306678,-9999.0,93.2660702902478
2M16364676+3710413,M13,59.8312196738162,41.9614697353493,4621.936,2.621597,-0.24826,0.212535,1.072586,-9999.0,80.04976755285391
2M16364922+3537560,M13,57.7662832696749,41.7990989325527,4854.702,3.428774,0.10702,0.125084,0.7708147,2.786827,91.72993830677574
2M16365576+3643402,M13,59.2321873810963,41.8904753587476,4995.061,2.526175,-0.59615,0.281545,1.440456,-9999.0,60.320120864822876
2M16365647+3658033,M13,59.5532155426664,41.9104505473773,4750.061,2.607604,-0.2537,0.187435,0.8136095,-9999.0,68.30478698269144
2M16365670+3531146,M13,57.6215343680579,41.7613745657916,4551.026,2.496721,-0.25865,0.264405,1.034627,-9999.0,97.72221684192566
2M16370110+3701091,M13,59.6241602697096,41.8998059654047,4945.18,3.373728,-0.43392,0.268135,0.3151664,1.949979,69.89185410150343
2M16370259+3609531,M13,58.4830507622551,41.8116842704388,4680.57,2.927273,0.11731,0.04871,0.3617512,-9999.0,62.6622380846719
2M16370400+3652270,M13,59.4313556689368,41.8768927263815,4710.886,2.871768,-0.11302,0.11844,0.917783,-9999.0,63.28285485555067
2M16370807+3527591,M13,57.5551423295352,41.7168476913277,4789.317,2.035398,-0.54026,0.199425,1.722146,-9999.0,99.81688503414624
2M16370809+3657115,M13,59.538724309171,41.8706273977256,5040.573,3.285898,-0.3336,0.09297,0.9055845,-9999.0,65.79115299589988
2M16370867+3534159,M13,57.6947914016752,41.7267668814669,5025.639,2.448837,-0.61178,0.207735,1.786652,-9999.0,92.89119691750763
2M16370956+3718326,M13,60.0153856980214,41.8975230124321,4992.44,3.19323,-0.37289,0.090833,1.096385,3.481128,84.5553520880154
2M16371172+3723125,M13,60.1202842958164,41.8970623642565,4631.193,2.743783,0.12057,0.0330477,0.9630171,-9999.0,89.13632246444404
