plateifu,mangaid,objra,objdec,log_Mass,Age_LW_Re_fit,alpha_Age_LW_Re_fit,Age_MW_Re_fit,alpha_Age_MW_Re_fit,ZH_LW_Re_fit,alpha_ZH_LW_Re_fit,vel_sigma_Re,Re_kpc
10001-12701,1-48157,133.371090612,57.5984251446,10.20035,8.686767,-0.03568695,9.738088,0.1009846,-0.4665675,-0.002117318,0.7871029,3.963157
10001-12702,1-48188,133.685669869,57.4802503218,10.19127,8.920465,-0.2972945,9.743103,0.1758874,-0.4001147,-0.2271008,0.7880929,5.577076
10001-12703,1-55648,136.017159969,57.0923291779,10.59209,9.027836,-0.2794801,9.773587,0.09421726,-0.2864023,-0.2515774,0.503865,5.857879
10001-12704,1-55616,133.989966869,57.6779676669,9.975392,9.036954,-0.1892901,9.624197,0.05907292,-0.3639861,-0.2776855,0.5194404,4.571877
10001-12705,1-55784,136.75137451,57.4514369241,10.52823,8.742222,-0.1900433,9.568835,0.03042901,-0.4224774,-0.189148,0.7695779,5.150672
10001-1901,1-55567,133.330028009,57.0411553708,9.779252,9.366267,0.0876187,9.721019,-0.03222471,-0.1564874,-0.05108448,0.4456134,1.360387
10001-1902,1-48201,134.193923352,56.7867469988,10.57486,9.776216,-0.0485877,9.875666,-0.0509652,-0.07323723,-0.09157303,0.1394867,1.794552
10001-3701,1-48111,132.465646765,57.1437279024,10.37786,9.761883,-0.08265507,9.922853,-0.04763667,-0.1018337,-0.08365957,0.1430756,1.267653
10001-3702,1-48136,132.912768243,57.1074235568,10.21413,9.240992,0.5576689,9.623956,0.02673827,-0.1269908,0.08128096,0.1541703,2.160571
10001-3703,1-55612,134.591498946,57.6849653262,10.16215,8.93064,-0.1308069,9.801243,0.0869072,-0.3860963,-0.1286727,0.7017265,2.090409
10001-3704,1-48223,134.910466734,56.8788941639,10.64984,9.526771,-0.1475518,9.677228,-0.04465467,-0.1082344,-0.1928133,0.1415444,2.342687
10001-6101,1-55683,137.041133755,57.4236117812,11.59862,9.742167,0.1012545,9.907165,0.1653023,0.008532607,-0.1515277,0.1072345,7.484273
10001-6102,1-48116,132.653991697,57.3596675436,10.72264,9.22786,-0.3001459,9.668223,-0.09689832,-0.08340032,-0.07058977,0.4322209,3.310271
10001-6103,1-48208,134.008123053,57.3909643699,11.0059,9.746384,0.0348069,9.882041,0.06516821,-0.008230815,-0.1265483,0.186617,4.425012
10001-6104,1-55529,136.623724313,56.7963948252,11.48115,9.743091,0.03309622,9.86452,0.06430264,-0.06153915,-0.1591187,0.07165466,8.162849
10001-9101,1-48189,133.87809679,57.5645448676,10.24502,8.632863,0.0385521,9.773442,0.1144414,-0.4685835,0.0430651,0.4357434,3.878863
