name,P_ms,P1_e20,PMRA,PMDEC,dist,cluster,cluster_mass,core_radius,environment,P,P1,PM_total,P1_shk,P1_intrinsic,shk_dominated,a_max,P1_acc_max,offset_arcsec,r_over_rc,phi_radial
J0024-7204C,5.757,0.018,5.0,-2.5,4.5,47 Tuc,7.0,0.4,globular_cluster,0.005757,1.7999999999999997e-22,5.5901699437494745,1.966870574951474e-21,-1.786870574951474e-21,False,6.098277730969078e-07,1.1710696503642189e-17,23.1,1.2599095537834069,-5.20705616957204e-08
J0024-7204D,5.358,0.012,5.0,-2.5,4.5,47 Tuc,7.0,0.4,globular_cluster,0.005358,1.2e-22,5.5901699437494745,1.830552812331075e-21,-1.710552812331075e-21,False,6.098277730969078e-07,1.0899064072696692e-17,18.2,0.9926560120717751,-5.944309601793906e-08
J0024-7204E,3.536,0.01,5.0,-2.5,4.5,47 Tuc,7.0,0.4,globular_cluster,0.003536,1e-22,5.5901699437494745,1.2080691945507056e-21,-1.1080691945507057e-21,False,6.098277730969078e-07,7.19281272136161e-18,12.5,0.681769239060285,-6.920399449809908e-08
J0024-7204F,2.624,0.008,5.0,-2.5,4.5,47 Tuc,7.0,0.4,globular_cluster,0.002624,8.000000000000001e-23,5.5901699437494745,8.964857371326503e-22,-8.1648573713265045e-22,False,6.098277730969078e-07,5.3376528792004696e-18,8.7,0.4745113903859583,-7.567024047961918e-08
J0024-7204G,4.04,0.009,5.0,-2.5,4.5,47 Tuc,7.0,0.4,globular_cluster,0.00404,8.999999999999998e-23,5.5901699437494745,1.3802600525975256e-21,-1.2902600525975257e-21,False,6.098277730969078e-07,8.218032634134871e-18,15.3,0.8344855486097887,-6.430754200941737e-08
J0024-7204H,3.21,0.007,5.0,-2.5,4.5,47 Tuc,7.0,0.4,globular_cluster,0.00321,7.000000000000001e-23,5.5901699437494745,1.0966917744648656e-21,-1.0266917744648657e-21,False,6.098277730969078e-07,6.529674444448747e-18,11.2,0.6108652381980153,-7.147624247454162e-08
J0024-7204I,3.485,0.008,5.0,-2.5,4.5,47 Tuc,7.0,0.4,globular_cluster,0.003485,8.000000000000001e-23,5.5901699437494745,1.1906451196293013e-21,-1.1106451196293013e-21,False,6.098277730969078e-07,7.089070230188125e-18,19.8,1.0799224746714915,-5.690745554094184e-08
J0024-7204J,2.101,0.006,5.0,-2.5,4.5,47 Tuc,7.0,0.4,globular_cluster,0.002101,6e-23,5.5901699437494745,7.178035570562875e-22,-6.578035570562873e-22,False,6.098277730969078e-07,4.273783803048852e-18,6.4,0.34906585039886595,-7.907785806124076e-08
J0024-7204L,4.346,0.011,5.0,-2.5,4.5,47 Tuc,7.0,0.4,globular_cluster,0.004346,1.0999999999999998e-22,5.5901699437494745,1.4848045021259523e-21,-1.3748045021259523e-21,False,6.098277730969078e-07,8.84048758117578e-18,22.7,1.2380929381334775,-5.262776211809151e-08
J0024-7204M,3.677,0.009,5.0,-2.5,4.5,47 Tuc,7.0,0.4,globular_cluster,0.003677,8.999999999999998e-23,5.5901699437494745,1.256241636980471e-21,-1.1662416369804709e-21,False,6.098277730969078e-07,7.479630196958892e-18,14.1,0.7690357016600015,-6.639415663763602e-08
J0024-7204N,3.054,0.007,5.0,-2.5,4.5,47 Tuc,7.0,0.4,globular_cluster,0.003054,7.000000000000001e-23,5.5901699437494745,1.0433946041170405e-21,-9.733946041170404e-22,False,6.098277730969078e-07,6.2123444714474995e-18,9.3,0.5072363138608521,-7.469717960810359e-08
J0024-7204O,2.643,0.006,5.0,-2.5,4.5,47 Tuc,7.0,0.4,globular_cluster,0.002643,6e-23,5.5901699437494745,9.029770591621932e-22,-8.429770591621933e-22,False,6.098277730969078e-07,5.376302042578828e-18,7.8,0.4254240051736178,-7.707249324439743e-08
J0024-7204Q,4.033,0.01,5.0,-2.5,4.5,47 Tuc,7.0,0.4,globular_cluster,0.004033,1e-22,5.5901699437494745,1.3778685129024313e-21,-1.2778685129024312e-21,False,6.098277730969078e-07,8.203793468679686e-18,16.9,0.9217520112095052,-6.158566784143008e-08
J0024-7204R,3.48,0.008,5.0,-2.5,4.5,47 Tuc,7.0,0.4,globular_cluster,0.00348,8.000000000000001e-23,5.5901699437494745,1.188936876989948e-21,-1.108936876989948e-21,False,6.098277730969078e-07,7.078899397720136e-18,13.6,0.7417649320975901,-6.727066317011386e-08
J0024-7204S,2.83,0.007,5.0,-2.5,4.5,47 Tuc,7.0,0.4,globular_cluster,0.00283,7.000000000000001e-23,5.5901699437494745,9.668653338740094e-22,-8.968653338740094e-22,False,6.098277730969078e-07,5.7566911768816055e-18,10.5,0.5726861608106394,-7.268213337516801e-08
J0024-7204T,7.588,0.015,5.0,-2.5,4.5,47 Tuc,7.0,0.4,globular_cluster,0.007588,1.5000000000000002e-22,5.5901699437494745,2.5924290294826794e-21,-2.4424290294826793e-21,False,6.098277730969078e-07,1.5435255353419653e-17,25.4,1.3853550937704993,-4.90217862016336e-08
J0024-7204U,4.343,0.01,5.0,-2.5,4.5,47 Tuc,7.0,0.4,globular_cluster,0.004343,1e-22,5.5901699437494745,1.4837795565423401e-21,-1.3837795565423402e-21,False,6.098277730969078e-07,8.834385081694985e-18,17.2,0.9381144729469522,-6.108519920755799e-08
J0024-7204W,2.352,0.005,5.0,-2.5,4.5,47 Tuc,7.0,0.4,globular_cluster,0.002352,5e-23,5.5901699437494745,8.035573375518268e-22,-7.535573375518269e-22,False,6.098277730969078e-07,4.784359592941885e-18,5.1,0.27816184953659623,-8.069348241260728e-08
J0024-7204X,4.771,0.011,5.0,-2.5,4.5,47 Tuc,7.0,0.4,globular_cluster,0.004771,1.0999999999999998e-22,5.5901699437494745,1.6300051264709888e-21,-1.5200051264709888e-21,False,6.098277730969078e-07,9.70500834095482e-18,20.3,1.107193244233903,-5.613983569932102e-08
J0024-7204Y,2.196,0.005,5.0,-2.5,4.5,47 Tuc,7.0,0.4,globular_cluster,0.002196,5e-23,5.5901699437494745,7.502601672040017e-22,-7.002601672040016e-22,False,6.098277730969078e-07,4.467029619940638e-18,4.2,0.22907446432425574,-8.16424049897583e-08
J1824-2452A,3.054,0.16,-0.5,-8.5,5.5,M28,5.5,0.2,globular_cluster,0.003054,1.6e-21,8.514693182963201,2.9586033663407633e-21,-1.3586033663407634e-21,False,1.9166015725902818e-06,1.952451119597785e-17,4.692680899768591,0.6256458728545355,-1.1157971296445113e-07
J1824-2452B,4.63,0.012,-0.5,-8.5,5.5,M28,5.5,0.2,globular_cluster,0.00463,1.2e-22,8.514693182963201,4.4853744551924475e-21,-4.3653744551924475e-21,False,1.9166015725902818e-06,2.960002843398082e-17,30.101214309175212,4.013207141652026,-3.1823229882528554e-08
J1824-2452C,4.159,0.01,-0.5,-8.5,5.5,M28,5.5,0.2,globular_cluster,0.0041589999999999,1e-22,8.514693182963201,4.0290869026231935e-21,-3.929086902623194e-21,False,1.9166015725902818e-06,2.658888083302943e-17,13.167456935454494,1.7555348986254704,-6.514559024090872e-08
J1824-2452D,79.83,4.2,-0.5,-8.5,5.5,M28,5.5,0.2,globular_cluster,0.07983,4.2e-20,8.514693182963201,7.73363807252728e-20,-3.5336380725272806e-20,False,1.9166015725902818e-06,5.103607494351382e-16,9.129425537759532,1.217169360378566,-8.355243329897927e-08
J1824-2452E,5.438,0.014,-0.5,-8.5,5.5,M28,5.5,0.2,globular_cluster,0.005438,1.4000000000000002e-22,8.514693182963201,5.2681352672433114e-21,-5.128135267243312e-21,False,1.9166015725902818e-06,3.4765648946865604e-17,1.6962487046234629,0.22615025910559036,-1.2837641877484837e-07
