name,cluster,P_ms,P1_e20,Pb_days,is_binary,P,P1,log_P1,P1_sign,environment
J0023-7204C,47 Tuc,5.75678,-4.985,,False,0.00575678,-4.985e-20,-19.302334837352326,-1.0,globular_cluster
J0024-7204D,47 Tuc,5.35757,-0.3429,,False,0.00535757,-3.4289999999999996e-21,-20.464832514885057,-1.0,globular_cluster
J0024-7205E,47 Tuc,3.53633,9.851,2.25684,True,0.00353633,9.851e-20,-19.006519680930005,1.0,globular_cluster
J0024-7204F,47 Tuc,2.62358,6.45,,False,0.00262358,6.45e-20,-19.190440285364733,1.0,globular_cluster
J0024-7204G,47 Tuc,4.04038,-4.215,,False,0.00404038,-4.2149999999999997e-20,-19.37520242103924,-1.0,globular_cluster
J0024-7204H,47 Tuc,3.21034,-0.183,2.3577,True,0.00321034,-1.83e-21,-20.73754891026957,-1.0,globular_cluster
J0024-7204I,47 Tuc,3.48499,-4.587,0.22979,True,0.00348499,-4.587e-20,-19.33847125986802,-1.0,globular_cluster
J0023-7203J,47 Tuc,2.10063,-0.97922,0.12066,True,0.00210063,-9.792199999999999e-21,-20.00911972489527,-1.0,globular_cluster
J0024-7204L,47 Tuc,4.34617,-12.206,,False,0.00434617,-1.2206e-19,-18.913426634379427,-1.0,globular_cluster
J0023-7205M,47 Tuc,3.67664,-3.844,,False,0.00367664,-3.8439999999999995e-20,-19.41521662100349,-1.0,globular_cluster
J0024-7204N,47 Tuc,3.05395,-2.187,,False,0.00305395,-2.1869999999999998e-20,-19.660151216962362,-1.0,globular_cluster
J0024-7204O,47 Tuc,2.64334,3.0354,0.13597,True,0.0026433399999999997,3.0354e-20,-19.51778407020779,1.0,globular_cluster
J0024-7204Q,47 Tuc,4.03318,3.402,1.18908,True,0.00403318,3.402e-20,-19.46826569072345,1.0,globular_cluster
J0024-7204R,47 Tuc,3.48046,14.8371,0.06623,True,0.00348046,1.48371e-19,-18.828650976218274,1.0,globular_cluster
J0024-7204S,47 Tuc,2.83041,-2.054,1.20172,True,0.0028304100000000002,-2.0539999999999997e-20,-19.68739956073874,-1.0,globular_cluster
J0024-7204T,47 Tuc,7.58848,29.37,1.12618,True,0.00758848,2.937e-19,-18.5320960534772,1.0,globular_cluster
J0024-7203U,47 Tuc,4.34283,9.523,0.42911,True,0.00434283,9.522999999999999e-20,-19.021226215669877,1.0,globular_cluster
J0024-7204W,47 Tuc,2.35234,-8.6553,0.133,True,0.00235234,-8.6553e-20,-19.062717874514572,-1.0,globular_cluster
J0024-7201X,47 Tuc,4.77152,1.83609,10.9212,True,0.00477152,1.83609e-20,-19.736106034711355,1.0,globular_cluster
J0024-7204Y,47 Tuc,2.19666,-3.5172,0.52194,True,0.00219666,-3.5171999999999996e-20,-19.45380293551394,-1.0,globular_cluster
J0024-7204Z,47 Tuc,4.55445,-0.456,,False,0.00455445,-4.56e-21,-20.341035157335565,-1.0,globular_cluster
J0024-7204aa,47 Tuc,3.69076,-9.178,,False,0.00369076,-9.178e-20,-19.03725194664136,-1.0,globular_cluster
J0024-7204ab,47 Tuc,3.70464,0.9844,,False,0.00370464,9.844e-21,-20.006828394969236,1.0,globular_cluster
J0514-4002A,NGC 1851,4.99058,2.354,18.78518,True,0.00499058,2.354e-20,-19.628193541492585,1.0,globular_cluster
J0514-4002E,NGC 1851,5.59595,19.328,7.4479,True,0.005595950000000001,1.9327999999999998e-19,-18.713813083058962,1.0,globular_cluster
B1310+18A,M53,33.16317,67.307,255.8574,True,0.03316317,6.7307e-19,-18.171939766336454,1.0,globular_cluster
J1312+1810B,M53,6.24226,-1.746,47.67735,True,0.00624226,-1.7459999999999998e-20,-19.75795576063045,-1.0,globular_cluster
J1312+1810C,M53,12.53508,5.26,,False,0.01253508,5.2599999999999995e-20,-19.27901425584626,1.0,globular_cluster
J1312+1810D,M53,6.06974,2.26,5.75024,True,0.0060697400000000006,2.2599999999999998e-20,-19.6458915608526,1.0,globular_cluster
J1312+1810E,M53,3.97214,-0.758,2.43138,True,0.00397214,-7.58e-21,-20.120330794367945,-1.0,globular_cluster
J1326-4728A,Omega Cen,4.10879,2.738,,False,0.00410879,2.7379999999999997e-20,-19.56256655620203,1.0,globular_cluster
J1326-4728B,Omega Cen,4.79187,-5.433,0.08961,True,0.00479187,-5.433e-20,-19.26496029496628,-1.0,globular_cluster
J1326-4728C,Omega Cen,6.86786,0.98,,False,0.00686786,9.799999999999999e-21,-20.008773924307505,1.0,globular_cluster
J1326-4728D,Omega Cen,4.57883,-4.11,,False,0.00457883,-4.11e-20,-19.38615817812393,-1.0,globular_cluster
J1326-4728E,Omega Cen,4.20772,1.628,,False,0.00420772,1.6279999999999998e-20,-19.788345599446817,1.0,globular_cluster
J1342+2822A,M3,2.54474,-1.0169,0.1359,True,0.00254474,-1.0168999999999999e-20,-19.992721752665755,-1.0,globular_cluster
J1342+2822B,M3,2.38942,1.8694,1.41735,True,0.0023894199999999997,1.8694e-20,-19.7282977616463,1.0,globular_cluster
J1342+2822D,M3,5.44298,2.08,128.74549,True,0.00544298,2.0799999999999998e-20,-19.681936665037238,1.0,globular_cluster
J1342+2822E,M3,5.47287,-0.105,7.09685,True,0.00547287,-1.0499999999999999e-21,-20.97881070093006,-1.0,globular_cluster
J1342+2822F,M3,4.40381,3.1224,2.99199,True,0.00440381,3.1223999999999996e-20,-19.505511461726808,1.0,globular_cluster
B1516+02A,M5,5.55359,4.12985,,False,0.00555359,4.12985e-20,-19.38406572203738,1.0,globular_cluster
B1516+02B,M5,7.94694,-0.3308,6.85845,True,0.00794694,-3.3079999999999995e-21,-20.48043449911949,-1.0,globular_cluster
J1518+0204C,M5,2.48393,2.60791,0.08683,True,0.00248393,2.6079099999999997e-20,-19.58370740035492,1.0,globular_cluster
J1518+0204D,M5,2.98798,2.21796,1.22209,True,0.00298798,2.21796e-20,-19.654046290439304,1.0,globular_cluster
J1518+0204E,M5,3.1823,1.7939,1.09693,True,0.0031823000000000003,1.7939e-20,-19.74620177013175,1.0,globular_cluster
J1518+0204F,M5,2.65419,2.21,1.60952,True,0.00265419,2.21e-20,-19.65560772631489,1.0,globular_cluster
J1518+0204G,M5,2.75019,1.247,0.11393,True,0.00275019,1.2470000000000001e-20,-19.904133546521457,1.0,globular_cluster
J1617-2258A,M80,4.31831,6.1,0.78915,True,0.0043183100000000006,6.099999999999999e-20,-19.214670164989233,1.0,globular_cluster
B1620-26,M4,11.0758,-5.4693,191.443,True,0.011075799999999998,-5.4693e-20,-19.262068254213357,-1.0,globular_cluster
B1639+36A,M13,10.3775,-0.73,,False,0.0103775,-7.3e-21,-20.136677139879545,-1.0,globular_cluster
B1639+36B,M13,3.52807,-0.01,1.25911,True,0.00352807,-9.999999999999999e-23,-22.0,-1.0,globular_cluster
J1641+3627C,M13,3.72208,0.123,,False,0.00372208,1.23e-21,-20.910094888560604,1.0,globular_cluster
J1641+3627D,M13,3.11829,-2.36,0.59144,True,0.00311829,-2.3599999999999998e-20,-19.627087997029893,-1.0,globular_cluster
J1641+3627E,M13,2.48698,1.75,0.11262,True,0.00248698,1.75e-20,-19.756961951313706,1.0,globular_cluster
J1641+3627F,M13,3.0035,1.4,1.378,True,0.0030034999999999997,1.3999999999999998e-20,-19.853871964321762,1.0,globular_cluster
J1641+3627G,M13,4.32357,-0.6633,0.12052,True,0.0043235700000000005,-6.633e-21,-20.178290002701623,-1.0,globular_cluster
J1641+3627I,M13,6.37518,226.6,18.23378,True,0.00637518,2.2659999999999997e-18,-17.64474009447262,1.0,globular_cluster
J1701-3006A,M62,5.24157,-13.17006,3.80595,True,0.00524157,-1.317006e-19,-18.880412246480162,-1.0,globular_cluster
J1701-3006B,M62,3.59385,-34.9618,0.14455,True,0.00359385,-3.4961799999999993e-19,-18.456406215913393,-1.0,globular_cluster
J1701-3006C,M62,7.61285,-6.3325,0.215,True,0.00761285,-6.3325e-20,-19.198424801537413,-1.0,globular_cluster
J1701-3006D,M62,3.41777,13.56389,1.1179,True,0.00341777,1.356389e-19,-18.867615740907127,1.0,globular_cluster
J1701-3006E,M62,3.23374,30.74423,0.15848,True,0.00323374,3.074423e-19,-18.512236379540415,1.0,globular_cluster
J1701-3006F,M62,2.29473,22.07696,0.20549,True,0.00229473,2.207696e-19,-18.65606072922728,1.0,globular_cluster
J1701-3006G,M62,4.6081,-11.457,0.77443,True,0.0046081,-1.1457e-19,-18.94092908690702,-1.0,globular_cluster
J1701-3006H,M62,3.70476,3.789,0.13294,True,0.0037047599999999997,3.789e-20,-19.421475394725007,1.0,globular_cluster
J1701-3006I,M62,3.29562,-33.725,0.50925,True,0.00329562,-3.3725e-19,-18.47204804165606,-1.0,globular_cluster
J1717+4308A,M92,3.15972,6.1185,0.20087,True,0.00315972,6.1185e-20,-19.213355035627224,1.0,globular_cluster
J1740-5340,NGC 6397,3.65033,16.8,1.35406,True,0.00365033,1.68e-19,-18.774690718274137,1.0,globular_cluster
J1740-5340B,NGC 6397,5.78697,-0.6,1.97726,True,0.00578697,-6e-21,-20.221848749616356,-1.0,globular_cluster
J1748-2446A,Terzan 5,11.5632,-2.9,0.07564,True,0.011563200000000001,-2.9e-20,-19.537602002101043,-1.0,globular_cluster
J1748-2446C,Terzan 5,8.4361,-60.6,,False,0.0084361,-6.06e-19,-18.217527375833715,-1.0,globular_cluster
J1748-2446D,Terzan 5,4.71398,13.0,,False,0.00471398,1.2999999999999998e-19,-18.886056647693163,1.0,globular_cluster
J1748-2446E,Terzan 5,2.1978,-1.8,60.06,True,0.0021978,-1.8e-20,-19.744727494896694,-1.0,globular_cluster
J1748-2446F,Terzan 5,5.54014,0.4,,False,0.00554014,4e-21,-20.397940008672037,1.0,globular_cluster
J1748-2446G,Terzan 5,21.6719,39.0,,False,0.0216719,3.9e-19,-18.4089353929735,1.0,globular_cluster
J1748-2446H,Terzan 5,4.92589,-8.3,,False,0.00492589,-8.3e-20,-19.080921907623924,-1.0,globular_cluster
J1748-2446I,Terzan 5,9.57019,-7.1,1.328,True,0.009570190000000001,-7.1e-20,-19.148741651280925,-1.0,globular_cluster
J1748-2446J,Terzan 5,80.3379,250.0,1.102,True,0.0803379,2.4999999999999998e-18,-17.602059991327963,1.0,globular_cluster
J1748-2446K,Terzan 5,2.96965,-9.4,,False,0.0029696500000000003,-9.4e-20,-19.0268721464003,-1.0,globular_cluster
J1748-2446L,Terzan 5,2.2447,-1.7,,False,0.0022447,-1.7e-20,-19.769551078621728,-1.0,globular_cluster
J1748-2446M,Terzan 5,3.56957,49.0,0.4431,True,0.00356957,4.9e-19,-18.309803919971486,1.0,globular_cluster
J1748-2446N,Terzan 5,8.6669,55.0,0.3855,True,0.0086669,5.5e-19,-18.259637310505756,1.0,globular_cluster
J1748-2446O,Terzan 5,1.67663,-6.9,0.2595,True,0.0016766300000000001,-6.9e-20,-19.161150909262744,-1.0,globular_cluster
J1748-2446P,Terzan 5,1.72862,26.0,0.3626,True,0.00172862,2.5999999999999996e-19,-18.585026652029182,1.0,globular_cluster
J1748-2446Q,Terzan 5,2.812,-3.6,30.295,True,0.002812,-3.6e-20,-19.443697499232712,-1.0,globular_cluster
J1748-2446R,Terzan 5,5.02854,47.0,,False,0.00502854,4.7e-19,-18.327902142064282,1.0,globular_cluster
J1748-2446S,Terzan 5,6.11664,6.4,,False,0.0061166400000000004,6.4e-20,-19.193820026016112,1.0,globular_cluster
J1748-2446T,Terzan 5,7.08491,31.0,,False,0.00708491,3.1e-19,-18.50863830616573,1.0,globular_cluster
J1748-2446U,Terzan 5,3.28914,30.0,3.57026,True,0.0032891400000000003,3e-19,-18.522878745280337,1.0,globular_cluster
J1748-2446V,Terzan 5,2.07251,-9.5,0.5036,True,0.00207251,-9.5e-20,-19.022276394711152,-1.0,globular_cluster
J1748-2446W,Terzan 5,4.20518,12.0,4.877,True,0.00420518,1.1999999999999999e-19,-18.920818753952375,1.0,globular_cluster
J1748-2446X,Terzan 5,2.99926,5.9,4.9985,True,0.00299926,5.9e-20,-19.229147988357855,1.0,globular_cluster
J1748-2446Y,Terzan 5,2.04816,15.0,1.16443,True,0.0020481600000000003,1.5e-19,-18.82390874094432,1.0,globular_cluster
J1748-2446Z,Terzan 5,2.46259,-8.6,3.48807,True,0.00246259,-8.599999999999999e-20,-19.065501548756433,-1.0,globular_cluster
J1748-2446aa,Terzan 5,5.78804,-44.0,,False,0.0057880399999999995,-4.4e-19,-18.356547323513812,-1.0,globular_cluster
J1748-2446ab,Terzan 5,5.11971,42.0,,False,0.00511971,4.2e-19,-18.3767507096021,1.0,globular_cluster
J1748-2446ac,Terzan 5,5.08691,23.0,,False,0.005086909999999999,2.3e-19,-18.638272163982407,1.0,globular_cluster
J1748-2446ad,Terzan 5,1.39595,-3.4,1.09443,True,0.00139595,-3.4e-20,-19.468521082957746,-1.0,globular_cluster
J1748-2446ae,Terzan 5,3.65859,-57.0,0.17073,True,0.0036585899999999998,-5.7e-19,-18.24412514432751,-1.0,globular_cluster
J1748-2446af,Terzan 5,3.30434,-23.0,,False,0.00330434,-2.3e-19,-18.638272163982407,-1.0,globular_cluster
J1748-2446ag,Terzan 5,4.44803,1.2,,False,0.00444803,1.2e-20,-19.920818753952375,1.0,globular_cluster
J1748-2446ah,Terzan 5,4.96515,57.0,,False,0.004965150000000001,5.7e-19,-18.24412514432751,1.0,globular_cluster
J1748-2446ai,Terzan 5,21.22838,140.0,0.85088,True,0.02122838,1.3999999999999999e-18,-17.853871964321762,1.0,globular_cluster
J1748-2446aj,Terzan 5,2.95891,14.1232,,False,0.00295891,1.41232e-19,-18.850066890756736,1.0,globular_cluster
J1748-2446ak,Terzan 5,1.8901,8.8495,,False,0.0018900999999999998,8.8495e-20,-19.053081266406725,1.0,globular_cluster
