name,P_ms,P1_e20,PMRA,PMDEC,dist,cluster,cluster_mass,core_radius,environment,P,P1,PM_total,P1_shk,P1_intrinsic,shk_dominated,a_max,P1_acc_max,phi_over_c2,tep_pdot_factor,P1_predicted,a_over_c
J0024-7204C,5.757,0.018,5.0,-2.5,4.5,47 Tuc,7.0,0.4,globular_cluster,0.005757,1.7999999999999997e-22,5.5901699437494745,1.966870574951474e-21,-1.786870574951474e-21,False,6.098277730969078e-07,1.1710696503642189e-17,-8.375711438668182e-08,0.9999999162428856,1.3995357085807325e-20,-2.3997493635239404e-18
J0024-7204D,5.358,0.012,5.0,-2.5,4.5,47 Tuc,7.0,0.4,globular_cluster,0.005358,1.2e-22,5.5901699437494745,1.830552812331075e-21,-1.710552812331075e-21,False,6.098277730969078e-07,1.0899064072696692e-17,-8.375711438668182e-08,0.9999999162428856,1.3442269506205729e-20,-2.4864258130283183e-18
J0024-7204E,3.536,0.01,5.0,-2.5,4.5,47 Tuc,7.0,0.4,globular_cluster,0.003536,1e-22,5.5901699437494745,1.2080691945507056e-21,-1.1080691945507057e-21,False,6.098277730969078e-07,7.19281272136161e-18,-8.375711438668182e-08,0.9999999162428856,1.0645083163145541e-20,-2.9822067769076753e-18
J0024-7204F,2.624,0.008,5.0,-2.5,4.5,47 Tuc,7.0,0.4,globular_cluster,0.002624,8.000000000000001e-23,5.5901699437494745,8.964857371326503e-22,-8.1648573713265045e-22,False,6.098277730969078e-07,5.3376528792004696e-18,-8.375711438668182e-08,0.9999999162428856,9.003747358220802e-21,-3.4008183529804883e-18
J0024-7204G,4.04,0.009,5.0,-2.5,4.5,47 Tuc,7.0,0.4,globular_cluster,0.00404,8.999999999999998e-23,5.5901699437494745,1.3802600525975256e-21,-1.2902600525975257e-21,False,6.098277730969078e-07,8.218032634134871e-18,-8.375711438668182e-08,0.9999999162428856,1.147190541941128e-20,-2.8173033216364553e-18
J0024-7204H,3.21,0.007,5.0,-2.5,4.5,47 Tuc,7.0,0.4,globular_cluster,0.00321,7.000000000000001e-23,5.5901699437494745,1.0966917744648656e-21,-1.0266917744648657e-21,False,6.098277730969078e-07,6.529674444448747e-18,-8.375711438668182e-08,0.9999999162428856,1.0082473464021445e-20,-3.119150611844687e-18
J0024-7204I,3.485,0.008,5.0,-2.5,4.5,47 Tuc,7.0,0.4,globular_cluster,0.003485,8.000000000000001e-23,5.5901699437494745,1.1906451196293013e-21,-1.1106451196293013e-21,False,6.098277730969078e-07,7.089070230188125e-18,-8.375711438668182e-08,0.9999999162428856,1.0558617392721395e-20,-3.006776870221347e-18
J0024-7204J,2.101,0.006,5.0,-2.5,4.5,47 Tuc,7.0,0.4,globular_cluster,0.002101,6e-23,5.5901699437494745,7.178035570562875e-22,-6.578035570562873e-22,False,6.098277730969078e-07,4.273783803048852e-18,-8.375711438668182e-08,0.9999999162428856,7.947472327151446e-21,-3.754151512209161e-18
J0024-7204L,4.346,0.011,5.0,-2.5,4.5,47 Tuc,7.0,0.4,globular_cluster,0.004346,1.0999999999999998e-22,5.5901699437494745,1.4848045021259523e-21,-1.3748045021259523e-21,False,6.098277730969078e-07,8.84048758117578e-18,-8.375711438668182e-08,0.9999999162428856,1.1951872778492536e-20,-2.7247751446140214e-18
J0024-7204M,3.677,0.009,5.0,-2.5,4.5,47 Tuc,7.0,0.4,globular_cluster,0.003677,8.999999999999998e-23,5.5901699437494745,1.256241636980471e-21,-1.1662416369804709e-21,False,6.098277730969078e-07,7.479630196958892e-18,-8.375711438668182e-08,0.9999999162428856,1.0881331572251544e-20,-2.934819573633817e-18
J0024-7204N,3.054,0.007,5.0,-2.5,4.5,47 Tuc,7.0,0.4,globular_cluster,0.003054,7.000000000000001e-23,5.5901699437494745,1.0433946041170405e-21,-9.733946041170404e-22,False,6.098277730969078e-07,6.2123444714474995e-18,-8.375711438668182e-08,0.9999999162428856,9.804401619413318e-21,-3.18742685638943e-18
J0024-7204O,2.643,0.006,5.0,-2.5,4.5,47 Tuc,7.0,0.4,globular_cluster,0.002643,6e-23,5.5901699437494745,9.029770591621932e-22,-8.429770591621933e-22,False,6.098277730969078e-07,5.376302042578828e-18,-8.375711438668182e-08,0.9999999162428856,9.040288437574519e-21,-3.3977633134977373e-18
J0024-7204Q,4.033,0.01,5.0,-2.5,4.5,47 Tuc,7.0,0.4,globular_cluster,0.004033,1e-22,5.5901699437494745,1.3778685129024313e-21,-1.2778685129024312e-21,False,6.098277730969078e-07,8.203793468679686e-18,-8.375711438668182e-08,0.9999999162428856,1.1460742610604902e-20,-2.816945849393727e-18
J0024-7204R,3.48,0.008,5.0,-2.5,4.5,47 Tuc,7.0,0.4,globular_cluster,0.00348,8.000000000000001e-23,5.5901699437494745,1.188936876989948e-21,-1.108936876989948e-21,False,6.098277730969078e-07,7.078899397720136e-18,-8.375711438668182e-08,0.9999999162428856,1.0550110575208761e-20,-3.0086524641404487e-18
J0024-7204S,2.83,0.007,5.0,-2.5,4.5,47 Tuc,7.0,0.4,globular_cluster,0.00283,7.000000000000001e-23,5.5901699437494745,9.668653338740094e-22,-8.968653338740094e-22,False,6.098277730969078e-07,5.7566911768816055e-18,-8.375711438668182e-08,0.9999999162428856,9.393971095709316e-21,-3.2946894331128324e-18
J0024-7204T,7.588,0.015,5.0,-2.5,4.5,47 Tuc,7.0,0.4,globular_cluster,0.007588,1.5000000000000002e-22,5.5901699437494745,2.5924290294826794e-21,-2.4424290294826793e-21,False,6.098277730969078e-07,1.5435255353419653e-17,-8.375711438668182e-08,0.9999999162428856,1.6342209509342184e-20,-2.1339232352849477e-18
J0024-7204U,4.343,0.01,5.0,-2.5,4.5,47 Tuc,7.0,0.4,globular_cluster,0.004343,1e-22,5.5901699437494745,1.4837795565423401e-21,-1.3837795565423402e-21,False,6.098277730969078e-07,8.834385081694985e-18,-8.375711438668182e-08,0.9999999162428856,1.1947240556365227e-20,-2.7278932895153645e-18
J0024-7204W,2.352,0.005,5.0,-2.5,4.5,47 Tuc,7.0,0.4,globular_cluster,0.002352,5e-23,5.5901699437494745,8.035573375518268e-22,-7.535573375518269e-22,False,6.098277730969078e-07,4.784359592941885e-18,-8.375711438668182e-08,0.9999999162428856,8.467260407480278e-21,-3.578767180051139e-18
