PLATEIFU,redshift,LW_AGE_1RE,LW_AGE_1RE_ERROR,MW_AGE_1RE,MW_AGE_1RE_ERROR,LW_Z_1RE,MW_Z_1RE,PHOTOMETRIC_MASS,stellar_sigma_1re
10001-12701,0.0392074,0.4385067,0.2072362,0.8890004,0.1860328,-0.1942593,-0.5904945,9.76654,56.15236
10001-12701,0.0392074,0.4385067,0.2072362,0.8890004,0.1860328,-0.1942593,-0.5904945,9.76654,56.15236
10001-12701,0.0392074,0.4385067,0.2072362,0.8890004,0.1860328,-0.1942593,-0.5904945,9.76654,56.22765
10001-12701,0.0392074,0.4385067,0.2072362,0.8890004,0.1860328,-0.1942593,-0.5904945,9.76654,56.15236
10001-12702,0.0408108,0.6597709,0.2040064,0.9800025,0.2586459,-0.1099341,-0.3237719,10.00429,53.41025
10001-12703,0.0462094,0.6239533,0.2092782,0.9499447,0.1749669,-0.05831962,-0.04546279,10.3125,81.69783
10001-12703,0.0462094,0.6239533,0.2092782,0.9499447,0.1749669,-0.05831962,-0.04546279,10.3125,81.69783
10001-12703,0.0462094,0.6239533,0.2092782,0.9499447,0.1749669,-0.05831962,-0.04546279,10.3125,81.22249
10001-12703,0.0462094,0.6239533,0.2092782,0.9499447,0.1749669,-0.05831962,-0.04546279,10.3125,81.69783
10001-12704,0.0141215,0.5029593,0.2258444,0.8365057,0.231655,-0.1102995,-0.1877502,9.962687,53.2665
10001-12704,0.0141215,0.5029593,0.2258444,0.8365057,0.231655,-0.1102995,-0.1877502,9.962687,53.2665
10001-12704,0.0141215,0.5029593,0.2258444,0.8365057,0.231655,-0.1102995,-0.1877502,9.962687,51.71817
10001-12704,0.0141215,0.5029593,0.2258444,0.8365057,0.231655,-0.1102995,-0.1877502,9.962687,53.2665
10001-12705,0.0462349,0.5940436,0.1766806,0.9289331,0.1520673,-0.102478,-0.2237123,10.32215,67.24818
10001-12705,0.0462349,0.5940436,0.1766806,0.9289331,0.1520673,-0.102478,-0.2237123,10.32215,67.24818
10001-12705,0.0462349,0.5940436,0.1766806,0.9289331,0.1520673,-0.102478,-0.2237123,10.32215,67.1498
10001-12705,0.0462349,0.5940436,0.1766806,0.9289331,0.1520673,-0.102478,-0.2237123,10.32215,67.24818
10001-1901,0.0257497,0.6502649,0.1452578,0.8188072,0.1563156,0.02248104,-0.09449602,9.477042,58.89737
10001-1901,0.0257497,0.6502649,0.1452578,0.8188072,0.1563156,0.02248104,-0.09449602,9.477042,58.89737
