apogee_id,dist50,glon,glat,mn_fe,fe_h
2M17343333-2818449,6.969375,359.239014,2.38865209,-0.189058,-0.74284
2M17343440-2810490,0.7940763,359.352417,2.45682096,0.4503025,0.25378
2M17350086-2808051,5.607892,359.443359,2.39964271,-0.04558799,-0.40641
2M17351291-2810554,0.9537922,359.427399,2.33684087,0.0005519986,-0.12298
2M17351647-2752123,1.878506,359.697388,2.4940958,0.00938201,-0.14776
2M17352605-2721516,0.1708353,0.142894059,2.73694944,-0.009605788,-0.004791699
2M17353200-2816293,7.605267,359.387054,2.22781944,-0.1716381,-0.78856
2M17353215-2759106,6.65598,359.630554,2.38285542,-0.146568,-0.63513
2M17354760-2742056,3.330487,359.901398,2.48825765,0.105452,0.15826
2M17355687-2805005,5.114295,359.597626,2.25390625,0.229812,0.17641
2M17363199-2756150,5.320731,359.790314,2.22347379,-0.151868,-0.80803
2M17364228-2842345,4.038833,359.158936,1.77692175,0.254091,0.089041
2M17365352-2707187,3.812781,0.521928251,2.59400344,0.163732,0.12645
2M17371119-2710467,5.23394,0.508238196,2.50771785,0.03669599,-0.050854
2M17371776-2721356,1.534491,0.368881851,2.39065623,-0.03668901,-0.067189
2M17373696-2721522,6.933708,0.403060049,2.32814503,-0.171418,-0.67313
2M17373772-2734144,7.528761,0.230247363,2.21551013,-0.3732979,-1.568
2M17375363-2814249,2.264065,359.695526,1.80783963,0.06367999,0.026594
2M17375391-2704050,0.5153841,0.68740499,2.43356657,0.1110725,-0.22458
2M17380466-2818462,4.760183,359.655792,1.73482096,0.07200201,0.19624
2M17382841-2812123,6.481102,359.794922,1.71957862,8.195639e-05,-0.5882
2M17385186-2800136,0.4439991,0.00985833909,1.75316393,-0.2560575,-0.15044
2M17385415-2807011,7.046261,359.918518,1.68569946,-0.148218,-0.67861
2M17385502-2725284,3.441111,0.506492972,2.05190134,0.139162,0.20276
2M17385866-2813506,2.298284,359.831055,1.61106801,0.150352,0.21716
2M17390652-2734001,6.945495,0.408758163,1.94022906,0.006051987,-0.29486
2M17392908-2744004,4.099325,0.311820626,1.78100753,0.217302,0.41359
2M17393204-2804137,2.445438,0.0320718884,1.5925796,0.03738301,0.16273
2M17393374-2758577,3.687154,0.109747432,1.63395345,0.267042,0.43478
2M17395189-2751174,6.926072,0.253641814,1.645293,-0.250778,-0.79162
2M17400074-2718329,3.676111,0.733656585,1.9073112,0.08278199,-0.1863
2M17400681-2800268,0.5190437,0.15343383,1.51771712,-0.1776175,-0.19458
2M17400734-2714527,2.582519,0.798524439,1.91901636,-0.08605802,-0.28438
2M17400766-2740492,0.5380139,0.432471663,1.6886332,0.1249535,0.059635
2M17401185-2828392,2.53767,359.76474,1.25252235,0.246712,0.17619
2M17401400-2825287,2.283168,359.813751,1.27394629,0.195222,0.16772
2M17402365-2719461,1.949204,0.761427283,1.82461119,0.05981398,0.14232
2M17402730-2713350,0.3637123,0.85606277,1.86777115,0.2929625,-0.24034
2M17404408-2801343,8.09998,0.210261047,1.39153099,-0.03937799,-0.50085
2M17405361-2809095,2.892878,0.121530131,1.29486144,0.1294221,0.0063939
2M17411706-2739421,3.877506,0.583961487,1.48128724,0.096091,0.11247
2M17271737-2715223,0.7800574,359.243958,4.31169462,-0.6327975,0.10419
2M17271852-2711522,2.185824,359.295074,4.34043789,0.114602,0.28327
2M17271907-2718040,4.110952,359.20993,4.28161144,0.00551194,-0.54659
2M17272694-2715124,5.038268,359.2659,4.28369093,0.244202,0.13448
2M17284116-2730450,8.023069,359.201294,3.91172981,-0.1011981,-1.0292
2M17284808-2731498,4.892107,359.200348,3.8804698,0.01810199,-0.4006
2M17284995-2643469,0.09621736,359.874512,4.31541204,0.06244251,0.21761
2M17284995-2643469,0.09621736,359.874512,4.31541204,0.09548251,0.21582
2M17284995-2643469,0.09621736,359.874512,4.31541204,0.1166825,0.23654
2M17285448-2654117,2.809624,359.738434,4.20589876,-0.140588,-0.19854
2M17285694-2707278,3.363273,359.558289,4.07663965,0.203102,0.28034
2M17285990-2647494,0.1279328,359.838501,4.24745846,-0.08494753,-0.41999
2M17290568-2700106,0.1950349,359.677887,4.11633635,0.02269552,0.078773
2M17290735-2720336,4.886429,359.396851,3.92434812,0.347442,0.33125
2M17290784-2707418,7.06183,359.577332,4.04074764,-0.172228,-0.96057
2M17292840-2707310,3.7537,359.621857,3.97869277,0.454092,0.30954
2M17294022-2738463,8.937778,359.209656,3.65603471,-0.085428,-0.76941
2M17294253-2740133,7.808841,359.194092,3.63564372,-0.158048,-0.96375
2M17294519-2627544,1.307245,0.209578589,4.28868008,0.0150503,0.11064
2M17294680-2644220,5.230519,359.982819,4.1332612,-0.192848,-0.94385
2M17294699-2712429,7.355294,359.587219,3.87351465,-0.4614981,-1.4968
2M17300562-2612093,2.180361,0.4717682,4.36865425,0.06697199,0.23176
2M17300819-2611038,0.1797919,0.492308736,4.3705492,-0.001417488,-0.18695
2M17301047-2707138,1.874607,359.711639,3.8508637,0.030022,0.28602
2M17301880-2719319,8.121185,359.556702,3.71268964,0.08476198,-0.71514
2M17302012-2722497,6.17268,359.513306,3.67851996,-0.04990798,-0.43869
2M17303509-2708457,1.472118,359.740356,3.76049948,0.03504899,0.045875
2M17303684-2733079,7.012855,359.40329,3.53276134,0.116962,-0.1184
2M17304020-2652491,2.231346,359.973694,3.88997459,0.164482,0.23255
2M17304566-2630396,1.327603,0.294812262,4.07482481,0.068988,-0.024246
2M17304645-2733567,0.5845516,359.411407,3.49563241,0.05044451,0.11979
2M17305251-2651528,8.24502,0.0118833939,3.86021304,0.07981199,-0.18297
2M17305251-2651528,8.24502,0.0118833939,3.86021304,0.086282,-0.13967
2M17310250-2717299,0.4671993,359.673859,3.59582591,-0.06948748,-0.23464
2M17310454-2654090,7.135508,0.00459198747,3.80211544,0.162702,-0.28178
2M17311009-2727062,0.5271482,359.554901,3.48481393,0.08740352,0.036341
2M17311013-2718237,8.257495,359.676788,3.56399322,-0.03191802,-0.46628
2M17311192-2706117,3.143924,359.851074,3.66952038,0.187881,0.049361
2M17311613-2629233,2.247414,0.374798417,3.99119687,0.236502,0.16643
2M17312022-2603207,0.1058742,0.747940719,4.2150631,-0.02393749,-0.10946
2M17312022-2603207,0.1058742,0.747940719,4.2150631,-0.01615748,-0.10637
2M17312521-2623467,8.027126,0.47185877,4.01380587,-0.2561979,-1.0801
2M17315009-2619276,6.788951,0.583093822,3.97512436,-0.104348,-0.69934
2M17315197-2722552,3.122667,359.69812,3.39310741,0.06182198,0.16739
2M17315741-2611218,4.461497,0.711519599,4.02560282,0.130212,0.2205
2M17315967-2654561,8.356736,0.105562806,3.62326741,-0.158628,-0.72314
2M17323698-2623269,6.571773,0.622596741,3.79203653,-0.214698,-1.5957
2M17324115-2644008,1.258133,0.342633963,3.5928452,0.181942,0.26072
2M17324557-2658582,7.114399,0.141925842,3.44363141,-0.09823805,-0.86206
2M17324707-2719401,6.871284,359.854858,3.25151801,0.05383198,-0.17909
2M17325854-2622532,2.185601,0.674238861,3.72951937,-0.05852801,-0.44646
2M17330340-2635029,1.686964,0.513458431,3.60435867,-0.101718,-0.1805
2M17330540-2648142,7.71523,0.332494646,3.47886586,-0.412698,-1.2444
2M17331815-2713369,4.141635,0.00229903823,3.20963883,0.333042,0.36046
2M17333241-2717262,8.010283,359.977386,3.13072681,-0.156728,-0.88057
2M17335061-2703182,1.3615,0.21228075,3.20162153,0.058645,0.15529
2M17335181-2632337,8.901325,0.646280885,3.47516584,0.012012,-0.52529
