CID,sn_ra,sn_dec,sn_z,x1,x1ERR,c,cERR,HOST_LOGMASS,sigma_host,sigma_err,sigma_source,w50_proxy
000014,35.878,-4.6363,0.13614,0.47577,0.57882,-0.111842,0.033921,9.80415,35.349999999999994,5.302499999999999,HIPASS_W50_proxy,101.0
1580,45.3231,-0.6441,0.18229,0.89187,0.2367,-0.031183,0.030946,10.75,39.340000534057616,5.901000080108642,HIPASS_W50_proxy,112.4000015258789
16276,20.5787,1.0106,0.19413,0.003506,0.57707,-0.029701,0.032591,9.288,94.46499786376953,14.16974967956543,HIPASS_W50_proxy,269.8999938964844
17497,37.1366,-1.0421,0.14404,0.90707,0.12522,0.038584,0.022744,10.0189,54.84499893188476,8.226749839782714,HIPASS_W50_proxy,156.6999969482422
18740,16.8553,1.0437,0.15336,-0.040405,0.12731,0.029946,0.022489,10.663,20.85999946594238,3.1289999198913567,HIPASS_W50_proxy,59.599998474121094
18927,46.6825,-0.754,0.21225,-0.578624,0.38977,0.11949,0.041521,11.5,70.35,10.552499999999998,HIPASS_W50_proxy,201.0
1992G,159.077,37.3212,0.00692,-0.216055,0.10475,0.020575,0.057706,10.0995,56.400001525878906,8.699999809265137,Ho+2009,
1992al,311.485,-51.3944,0.01388,-0.284092,0.082956,-0.130405,0.027362,10.0338,107.06499786376952,16.059749679565428,HIPASS_W50_proxy,305.8999938964844
1994DRichmond,188.51,7.7016,0.00299,-1.61803,0.049543,-0.111684,0.026044,8.46247,212.8000030517578,8.699999809265137,Ho+2009,
1994T,200.378,-2.149,0.03583,-1.51339,0.15186,0.031814,0.031789,10.2173,186.10000610351562,16.299999237060547,6dFGS FP,
1995al,147.733,33.5526,0.00673,1.20311,0.12078,0.036406,0.026077,10.296,57.29999923706055,,Ho 2007,
1996Z,144.187,-21.1476,0.00817,-0.347761,0.77915,0.20665,0.034333,7.0,99.99500427246093,14.999250640869139,HIPASS_W50_proxy,285.70001220703125
1997br,200.177,-22.0367,0.00665,0.33528,0.064342,0.23825,0.034175,8.92838,34.54499893188476,5.181749839782714,HIPASS_W50_proxy,98.69999694824219
1998aq,179.108,55.1287,0.00349,-0.45159,0.036414,-0.118814,0.025128,10.199,73.0,4.0,Ho+2009,
1998dm,21.5582,-6.1039,0.00631,0.56097,0.053113,0.22921,0.039831,7.05776,88.55,13.282499999999999,HIPASS_W50_proxy,253.0
