CID,sn_ra,sn_dec,sn_z,x1,HOST_LOGMASS,sigma_host,sigma_err,sdss_z,sdss_ra,sdss_dec,match_sep_arcsec,plate,mjd,fiberID,sigma_source
000137,161.159,57.8111,0.11901,-0.710055,10.2136,146.79448,10.618872,0.118291855,161.15916,57.81106,0.3389517715326321,949,52427,310,SDSS_specObj
010026,160.674,58.8438,0.03236,-0.409321,9.61222,18.441492,17.107897,0.031225953,160.67164,58.844191,4.615455095776121,948,52428,525,SDSS_specObj
040780,243.62,54.7258,0.23082,-0.910841,10.963,128.14705,19.7625,0.23094249,243.61925999999994,54.72597,1.6556907301414097,7564,56804,959,SDSS_specObj
091869,351.908,-1.7625,0.28854,1.3387,10.347,850.0,-3.0,0.2938888,351.9081,-1.7629185,1.5489741552099456,4359,55533,949,SDSS_specObj
1032,46.7957,1.1196,0.12921,-2.5393,10.2777,139.29132,13.837393,0.1297552,46.795921,1.119996,1.6325051206566124,1564,52991,332,SDSS_specObj
10550,349.675,-1.2049,0.29933,1.64631,10.289,59.569057,36.66553,0.3008174,349.67578000000003,-1.2046572,2.940305098321791,4210,55444,332,SDSS_specObj
1112,339.018,-0.3752,0.2562,-0.608145,11.351,133.349,19.715935,0.25755364,339.01688,-0.37489322,4.180435918266107,1037,52826,279,SDSS_specObj
1119,320.414,0.8947,0.29647,0.8034,10.804,164.43399,24.469582,0.29784596,320.41283999999996,0.89520349,4.551934736123933,4193,55476,545,SDSS_specObj
1241,337.672,-0.7766,0.0887,-0.551806,9.91509,110.09914,12.900499,0.08982253,337.67148,-0.77624824,2.2599441102362343,4203,55447,378,SDSS_specObj
1253,323.799,0.1631,0.26175,-0.927163,11.153,134.3138,13.652294,0.2630978,323.79858,0.16283187,1.7938416364230134,4195,55452,583,SDSS_specObj
12843,323.878,-0.9803,0.16606,-1.02597,11.258,167.98506,9.985967,0.16695152,323.87851,-0.97964373,2.9919318904601555,989,52468,122,SDSS_specObj
12856,332.866,0.756,0.17042,0.86254,10.352,123.164055,34.358982,0.17167257,332.86538,0.75559,2.67573040222915,1104,52912,335,SDSS_specObj
12860,323.694,1.1759,0.12058,-0.302934,10.1701,111.14835,27.169424,0.12172147,323.69498,1.1754142,3.937019873318928,4194,55450,953,SDSS_specObj
12881,10.1623,-0.0736,0.23685,0.86995,9.679,152.43494,64.53134,0.23813412,10.162439000000006,-0.073600249,0.5004003900561944,3589,55186,436,SDSS_specObj
