n_pairs,mean_delta_log_age,median_delta_log_age,se_delta_log_age,p_ttest_less,k,include_log_mass,include_log_size,max_feature_distance,min_delta_log_sigma
99317,0.007539711908883681,0.01975514983516083,0.0006670698227227727,1.0,5,False,True,0.2,0.08
61228,0.018417774198620757,0.025557149790542927,0.0008412980897047653,1.0,5,True,True,0.2,0.08
90808,0.007527326595176566,0.021818248096655134,0.0007024306790828685,1.0,5,False,True,0.2,0.12
40433,0.022696528961199464,0.032399623536862876,0.0010656831369335999,1.0,5,True,True,0.2,0.12
76453,0.007923319082390167,0.024473360058417104,0.0007761730419595542,1.0,5,False,True,0.2,0.16
24283,0.02503919788462486,0.03870066493827423,0.0014156895651764477,1.0,5,True,True,0.2,0.16
105524,0.008684615929515674,0.020460509424545373,0.000647111927298168,1.0,5,False,True,0.35,0.08
87618,0.018303285639643906,0.024223473912685513,0.0007084150926518603,1.0,5,True,True,0.35,0.08
97564,0.008837680482021675,0.02279093904142948,0.0006772280509313352,1.0,5,False,True,0.35,0.12
62078,0.020901763644608804,0.03022711661047775,0.0008630288503753642,1.0,5,True,True,0.35,0.12
82873,0.009624109368171797,0.025978386764641315,0.0007423993844865177,1.0,5,False,True,0.35,0.16
39685,0.023009165010642905,0.03553798316626596,0.001113257969391689,1.0,5,True,True,0.35,0.16
98868,0.007935417452442422,0.019946393632370135,0.0006680065081362176,1.0,10,False,True,0.2,0.08
59196,0.01973432459897613,0.02636787357493102,0.000851994835801967,1.0,10,True,True,0.2,0.08
90379,0.007957663626894125,0.022382889331999972,0.0007016227427342378,1.0,10,False,True,0.2,0.12
38796,0.02321160570173839,0.03244352978947926,0.001087262403631897,1.0,10,True,True,0.2,0.12
76094,0.008422215365078494,0.024457153488390934,0.0007751713911099528,1.0,10,False,True,0.2,0.16
23258,0.025343218409385315,0.037253859225051346,0.0014430801087932982,1.0,10,True,True,0.2,0.16
105486,0.008252135561128644,0.01982573664678959,0.0006467079832215932,1.0,10,False,True,0.35,0.08
87243,0.018047724083018066,0.024616387135114187,0.0007090753451245056,1.0,10,True,True,0.35,0.08
97595,0.009101224682840685,0.02295490283138238,0.0006757622637641495,1.0,10,False,True,0.35,0.12
61803,0.02095698432846413,0.030262901225592956,0.0008647595113169315,1.0,10,True,True,0.35,0.12
82942,0.009647266368174371,0.025454109648512933,0.0007408948957173698,1.0,10,False,True,0.35,0.16
39415,0.022915775949325482,0.034742066690686066,0.0011123957337958997,1.0,10,True,True,0.35,0.16
98572,0.007650341700248949,0.02007569083163621,0.000669213938983175,1.0,20,False,True,0.2,0.08
57728,0.01901329353896719,0.02657346393363347,0.0008654892895853805,1.0,20,True,True,0.2,0.08
89994,0.008338893534029133,0.02287787026683838,0.0007036821665473017,1.0,20,False,True,0.2,0.12
37696,0.022301190084549293,0.032206783344026206,0.0011085173707070905,1.0,20,True,True,0.2,0.12
75749,0.008821995801553809,0.025417638869888987,0.0007773275920820057,1.0,20,False,True,0.2,0.16
22522,0.024788545232847504,0.037056711187627794,0.0014683314061469267,1.0,20,True,True,0.2,0.16
105457,0.008796336046670686,0.02105205610899421,0.0006475102452701166,1.0,20,False,True,0.35,0.08
86956,0.018197014779782552,0.025072818738241114,0.0007089337094357847,1.0,20,True,True,0.35,0.08
97609,0.009870726371611686,0.023772477672520838,0.0006754214697416047,1.0,20,False,True,0.35,0.12
61563,0.02077921860625122,0.03013201314580309,0.0008674596077580457,1.0,20,True,True,0.35,0.12
82970,0.010350186302943784,0.026458195812467715,0.0007419040738707047,1.0,20,False,True,0.35,0.16
39221,0.024069066611987593,0.036004919569570616,0.0011156674344255867,1.0,20,True,True,0.35,0.16
101512,0.008080277272744529,0.023186577546836902,0.0006767662138114464,1.0,10,False,False,0.35,0.12
97595,0.009101224682840685,0.02295490283138238,0.0006757622637641495,1.0,10,False,True,0.35,0.12
83713,-0.013476638560709473,0.002626085581794127,0.0007583106812273848,7.863843547534714e-71,10,True,False,0.35,0.12
61803,0.02095698432846413,0.030262901225592956,0.0008647595113169315,1.0,10,True,True,0.35,0.12
