name,cluster,environment,period_ms,pdot,pdot_source,logP,logPdot_abs,log_b_proxy
J0023-7204C,47 Tuc,globular_cluster,1.2100,5.7568e-20,freire,-2.9172,-19.2398,-11.0785
J0024-7204D,47 Tuc,globular_cluster,0.6800,5.3576e-20,freire,-3.1675,-19.2710,-11.2193
J0024-7205E,47 Tuc,globular_cluster,0.6500,3.5363e-20,freire,-3.1871,-19.4514,-11.3193
J0024-7204F,47 Tuc,globular_cluster,2.6236,6.4500e-20,freire,-2.5811,-19.1904,-10.8858
J0024-7204G,47 Tuc,globular_cluster,4.0404,-4.2150e-20,freire,-2.3936,-19.3752,-10.8844
J0024-7204H,47 Tuc,globular_cluster,0.7700,3.2103e-20,freire,-3.1135,-19.4934,-11.3035
J0024-7204I,47 Tuc,globular_cluster,3.4850,-4.5870e-20,freire,-2.4578,-19.3385,-10.8981
J0023-7203J,47 Tuc,globular_cluster,1.0000,2.1006e-20,freire,-3.0000,-19.6777,-11.3388
J0024-7204L,47 Tuc,globular_cluster,4.3462,-1.2206e-19,freire,-2.3619,-18.9134,-10.6377
J0023-7205M,47 Tuc,globular_cluster,1.0500,3.6766e-20,freire,-2.9788,-19.4345,-11.2067
J0024-7204N,47 Tuc,globular_cluster,3.0539,-2.1870e-20,freire,-2.5151,-19.6602,-11.0876
J0024-7204O,47 Tuc,globular_cluster,2.6433,3.0354e-20,freire,-2.5778,-19.5178,-11.0478
J0024-7204P,47 Tuc,globular_cluster,3.6430,2.4290e-19,freire,-2.4385,-18.6146,-10.5266
J0024-7204Q,47 Tuc,globular_cluster,0.9800,4.0332e-20,freire,-3.0088,-19.3944,-11.2016
J0024-7204R,47 Tuc,globular_cluster,3.4805,1.4837e-19,freire,-2.4584,-18.8287,-10.6435
J0024-7204S,47 Tuc,globular_cluster,2.8304,-2.0540e-20,freire,-2.5482,-19.6874,-11.1178
J0024-7204T,47 Tuc,globular_cluster,7.5885,2.9370e-19,freire,-2.1198,-18.5321,-10.3260
J0024-7203U,47 Tuc,globular_cluster,0.9400,4.3428e-20,freire,-3.0269,-19.3622,-11.1945
J0024-7204V,47 Tuc,globular_cluster,4.8102,2.4105e-19,freire,-2.3178,-18.6179,-10.4679
J0024-7204W,47 Tuc,globular_cluster,2.3523,-8.6553e-20,freire,-2.6285,-19.0627,-10.8456
J0024-7201X,47 Tuc,globular_cluster,3.8300,4.7715e-20,freire,-2.4168,-19.3213,-10.8691
J0024-7204Y,47 Tuc,globular_cluster,2.1967,-3.5172e-20,freire,-2.6582,-19.4538,-11.0560
J0024-7204Z,47 Tuc,globular_cluster,4.5545,-4.5600e-21,freire,-2.3416,-20.3410,-11.3413
J0024-7204aa,47 Tuc,globular_cluster,3.6908,-9.1780e-20,freire,-2.4329,-19.0373,-10.7351
