# Total number of pulsars: 350, in 46 globular clusters.

# Cluster/	Offset	Period (a)	dP/dt  (a,b)	DM		Pb	x	e	m2 (c)
# Pulsar	(arcmin)(ms)		(10-20)		(cm-3 pc)	(days)	(s)		(solar masses)

47 Tuc (NGC 104)
J0023-7204C		1.21		5.75678		-4.9850(6)		24.599(2)		i		i		i		i
J0024-7204D		0.68		5.35757		-0.3429(7)		24.729(2)		i		i		i		i
J0024-7205E		0.65		3.53633		+9.8510(6)		24.236(2)		2.25684		1.98184		0.00031		0.18
J0024-7204F		0.19		2.62358		+6.4500(4)		24.379(5)		i		i		i		i
J0024-7204G		0.29		4.04038		-4.215(2)		24.441(5)		i		i		i		i
J0024-7204H		0.77		3.21034		-0.183(1)		24.369(8)		2.35770		2.15281		0.07056		0.19
J0024-7204I		0.29		3.48499		-4.587(2)		24.43(1)		0.22979		0.03844		<0.0004		0.015
J0023-7203J     1.00	2.10063		-0.97922(9)	24.588(3)	0.12066	0.04040 <0.00004 0.024
J0024-7204L	0.14	4.34617		-12.206(4)	24.38(5)	i	i	i	i
J0023-7205M	1.05	3.67664		-3.844(3)	24.42(2)	i	i	i	i
J0024-7204N	0.49	3.05395		-2.1870(9)	24.57(2)	i	i	i	i
J0024-7204O     0.06	2.64334		+3.0354(9)	24.363(10)	0.13597 0.04515 <0.00016 0.025
J0024-7204P 	* 	3.64302 	* 		24.29(3) 	0.14725 0.03800 0.0 	0.02 
J0024-7204Q 	0.98 	4.03318 	+3.402(2) 	24.265(4) 	1.18908 1.46220 0.00008 0.21 
J0024-7204R 	0.15 	3.48046 	+14.8371(3) 	24.361(7) 	0.06623 0.03363	0.0 	0.030 
J0024-7204S 	0.19 	2.83041 	-2.054(2) 	24.376(4) 	1.20172 0.76627	0.00039	0.10 
J0024-7204T 	0.34 	7.58848 	+29.37(1) 	24.41(2) 	1.12618 1.33850	0.00040	0.20 	
J0024-7203U 	0.94 	4.34283 	+9.523(1) 	24.337(4) 	0.42911 0.52695	0.00014	0.14 
J0024-7204V 	* 	4.81017 	* 		24.105(8) 	0.21213 0.74191	0.0 	0.35 
J0024-7204W 	0.08 	2.35234 	-8.6553 	24.367(3) 	0.1330 	0.2435 	0.0 	0.14 
J0024-7201X 	3.83 	4.77152 	+1.83609 	24.539(5) 	10.9212 11.917 	0.0000005 0.42 	
J0024-7204Y 	0.37 	2.19666 	-3.51720(8) 	24.468(4) 	0.52194 0.66859	0.000003 0.16
J0024-7204Z 	0.15 	4.55445 	-0.456(1) 	24.45(4) 	i 	i 	i 	i 
J0024-7204aa 	0.47 	3.69076	        -9.1780(30) 	24.941(7)	i 	i 	i 	i 	
J0024-7204ab 	0.21 	3.70464 	+0.9844(3) 	24.37(2) 	i 	i 	i 	i 	
J0024-7204ac	*	2.74		*		24.46 		0.1793 	0.0195 	0 	0.0089
J0024-7204ad	*	3.74		*		24.41		0.3184	0.6819	0	0.235
J0024-7204ae 	* 	3.87 		* 		24.3 		* 	* 	* 	*
J0024-7204af		*		2.9978		*			24.21		*		*		*		*
J0024-7204ag	*	9.76		*		24.45		*	*	*	*
J0024-7204ah	*	3.07		*		24.36		*	*	*	*
J0024-7204ai	*	13.02		*		24.47		*	*	*	*
J0024-7204aj	*	6.35		*		24.37		i	i	i	i
J0024-7204ak	*	3.52		*		23.91		*	*	*	*
J0024-7204al	*	2.67		*		24.13		*	*	*	*
J0024-7204am	*	4.163		*		24.61		*	*	*	*
J0024-7204an	*	2.61		*		24.1		*	*	*	*
J0024-7204ao	*	1.87		*		23.6		i	i	i	i
J0024-7204ap	*	5.11		*		24.3		i	i	i	i
J0024-7204aq	*	3.04		*		23.6		*	*	*	*
J0024-7204ar	*	9.75		*		24.1		*	*	*	*
J0024-7204as	*	4.01		*		24.61		*	*	*	*

NGC 362
J0103-7050A	*	4.969		*		25.2		*	*	*	*
J0103-7050B	*	2.245		*		25.6		*	*	*	*
J0103-7050C     *       7.354           *               25.0            *       *       *       *
J0103-7050D     *       3.438           *               24.6            *       *       *       *
J0102-7050E	*	104.43		*		24.5		i	i	i	i
J0103-7050F     *       34.81           *               24.6            *       *       *       *
J0102-7050G     *       4.45            *               24.6            i       i       i       i
J0103-7050H     *       7.96            *               24.8            *       *       *       *
J0103-7050I     *       2.78            *               24.7            *       *       *       *
J0102-7050J     *       5.83            *               24.5            i       i       i       i
J0103-7050K	*	2.67		*		24.55		*	*	* 	*	
J0103-7050L	*	2.46		*		25.01		*	*	*	*

NGC 1851
