cluster,n,r_span_arcsec,pearson_r_logabs,pearson_p_logabs,spearman_rho_logabs,spearman_p_logabs,pearson_r_signed,pearson_p_signed,spearman_rho_signed,spearman_p_signed
Terzan 5,41,55.080,-0.016236,0.919747,-0.224323,0.158543,0.215756,0.175479,0.037282,0.816988
47 Tuc (NGC 104),23,225.000,0.106955,0.627158,-0.012855,0.953576,0.347959,0.103737,0.326823,0.127975
M28 (NGC 6626),10,164.760,-0.715084,0.0200957,0.066667,0.854813,-0.090726,0.803163,0.260606,0.467089
M15 (NGC 7078),9,56.280,0.222409,0.565175,-0.016667,0.966055,0.366475,0.332012,0.533333,0.139227
M62 (NGC 6266),9,21.600,-0.856994,0.00315716,-0.847579,0.00390855,-0.028440,0.942101,-0.203419,0.599623
M13 (NGC 6205),8,100.320,-0.578755,0.132807,-0.761905,0.0280049,-0.332758,0.420606,-0.357143,0.385121
M5 (NGC 5904),7,63.300,-0.244367,0.597425,-0.178571,0.701658,-0.228816,0.621638,-0.178571,0.701658
M2 (NGC 7089),7,28.800,-0.439373,0.32396,-0.428571,0.337368,-0.506808,0.245714,-0.857143,0.0136973
NGC 6752,6,378.480,-0.871086,0.0238571,-0.542857,0.265703,-0.072370,0.891635,0.142857,0.787172
M71 (NGC 6838),5,144.600,-0.157352,0.800483,-0.600000,0.284757,0.052257,0.933495,-0.600000,0.284757
M53 (NGC 5024),5,24.600,0.781397,0.118587,0.100000,0.872889,0.941244,0.0169454,0.300000,0.623838
