name,environment,cluster,P0_s,P1_sps,pdot_over_p,log_abs_pdot_over_p,logP,log_b_proxy
J0023-7204C,globular_cluster,47 Tuc (NGC 104),0.00575678,-4.985e-20,-8.659354708708686e-18,-17.062514470209987,-2.2398204,-10.771078
J0024-7204D,globular_cluster,47 Tuc (NGC 104),0.00535757,-3.429e-21,-6.400289683569231e-19,-18.193800368964787,-2.2710321,-11.367932
J0024-7205E,globular_cluster,47 Tuc (NGC 104),0.00353633,9.851e-20,2.785656316011232e-17,-16.55507246625629,-2.4514472,-10.728983
J0024-7204F,globular_cluster,47 Tuc (NGC 104),0.00262358,6.45e-20,2.4584727738433744e-17,-16.609334596906077,-2.5811057,-10.885773
J0024-7204G,globular_cluster,47 Tuc (NGC 104),0.00404038,-4.215e-20,-1.0432187071513077e-17,-16.981624633709796,-2.3935778,-10.88439
J0024-7204H,globular_cluster,47 Tuc (NGC 104),0.00321034,-1.83e-21,-5.700330806082844e-19,-18.244099940277057,-2.493449,-11.615499
J0024-7204I,globular_cluster,47 Tuc (NGC 104),0.00348499,-4.587e-20,-1.3162161153977486e-17,-16.880672796118102,-2.4577985,-10.898135
J0023-7203J,globular_cluster,47 Tuc (NGC 104),0.00210063,-9.7922e-21,-4.6615539147779474e-18,-17.331469288434416,-2.6776504,-11.343385
J0024-7204L,globular_cluster,47 Tuc (NGC 104),0.00434617,-1.2206e-19,-2.8084497385053964e-17,-16.55153334408091,-2.3618933,-10.63766
J0023-7205M,globular_cluster,47 Tuc (NGC 104),0.00367664,-3.844e-20,-1.0455198224465817e-17,-16.98066772879795,-2.4345489,-10.924883
J0024-7204N,globular_cluster,47 Tuc (NGC 104),0.00305395,-2.187e-20,-7.161217439709228e-18,-17.145013139367816,-2.5151381,-11.087645
J0024-7204O,globular_cluster,47 Tuc (NGC 104),0.00264334,3.0354e-20,1.1483199285752116e-17,-16.939937098124606,-2.577847,-11.047816
J0024-7204Q,globular_cluster,47 Tuc (NGC 104),0.00403318,3.402e-20,8.435031414417409e-18,-17.073913295637663,-2.3943524,-10.931309
J0024-7204R,globular_cluster,47 Tuc (NGC 104),0.00348046,1.48371e-19,4.262970986593726e-17,-16.370287623112926,-2.4583634,-10.643507
J0024-7204S,globular_cluster,47 Tuc (NGC 104),0.00283041,-2.054e-20,-7.256899177151014e-18,-17.139248910694278,-2.5481507,-11.117775
J0024-7204T,globular_cluster,47 Tuc (NGC 104),0.00758848,2.937e-19,3.870340305304883e-17,-16.412250847327744,-2.1198452,-10.325971
J0024-7203U,globular_cluster,47 Tuc (NGC 104),0.00434283,9.523e-20,2.1928097576925645e-17,-16.65899904491538,-2.3622272,-10.691727
J0024-7204W,globular_cluster,47 Tuc (NGC 104),0.00235234,-8.6553e-20,-3.679442597583682e-17,-16.434217968046294,-2.6284999,-10.845609
J0024-7201X,globular_cluster,47 Tuc (NGC 104),0.00477152,1.83609e-20,3.848019079873918e-18,-17.414762783239365,-2.3213433,-11.028725
J0024-7204Y,globular_cluster,47 Tuc (NGC 104),0.00219666,-3.5172e-20,-1.601158121875939e-17,-16.79556577734537,-2.6582372,-11.05602
J0024-7204Z,globular_cluster,47 Tuc (NGC 104),0.00455445,-4.56e-21,-1.0012185884135295e-18,-17.999471095969046,-2.3415641,-11.3413
J0024-7204aa,globular_cluster,47 Tuc (NGC 104),0.00369076,-9.178e-20,-2.4867506963335467e-17,-16.60436775177619,-2.4328842,-10.735068
J0024-7204ab,globular_cluster,47 Tuc (NGC 104),0.00370464,9.844e-21,2.6572082577524402e-18,-17.5755744065802,-2.431254,-11.219041
J0514-4002A,globular_cluster,NGC 1851,0.00499058,2.354e-20,4.716886614381495e-18,-17.326344563300683,-2.301849,-10.965021
J0514-4002E,globular_cluster,NGC 1851,0.00559595,1.9328e-19,3.4539265004154794e-17,-16.4616869084604,-2.2521262,-10.48297
J1312+1810B,globular_cluster,M53 (NGC 5024),0.00624226,-1.746e-20,-2.797063883913839e-18,-17.55329761438842,-2.2046581,-10.981307
J1312+1810C,globular_cluster,M53 (NGC 5024),0.01253508,5.26e-20,4.1962237177584825e-18,-17.377141365855508,-1.9018729,-10.590444
J1312+1810D,globular_cluster,M53 (NGC 5024),0.00606974,2.26e-20,3.7233884812199536e-18,-17.42906164912989,-2.2168299,-10.931361
J1312+1810E,globular_cluster,M53 (NGC 5024),0.00397214,-7.58e-21,-1.9082912485461237e-18,-17.71935534138061,-2.4009755,-11.260653
J1326-4728A,globular_cluster,Omega Centauri (NGC 5139),0.00410879,2.7331e-20,6.6518366721102806e-18,-17.17705842290292,-2.3862861,-10.974815
J1326-4728B,globular_cluster,Omega Centauri (NGC 5139),0.00479187,-5.4336e-20,-1.1339205779789517e-17,-16.945417363215086,-2.319495,-10.792204
J1326-4728C,globular_cluster,Omega Centauri (NGC 5139),0.00686786,1.0136e-20,1.4758600204430492e-18,-17.83095483169457,-2.1631786,-11.078656
J1326-4728D,globular_cluster,Omega Centauri (NGC 5139),0.00457883,-4.1184e-20,-8.99443744362643e-18,-17.046025994382795,-2.3392455,-10.862258
J1326-4728E,globular_cluster,Omega Centauri (NGC 5139),0.00420772,1.6265e-20,3.865513864991017e-18,-17.412792764644536,-2.3759532,-11.08235
J1326-4728G,globular_cluster,Omega Centauri (NGC 5139),0.00330438,2.7739e-20,8.394615631374117e-18,-17.075999184337704,-2.48091,-11.01891
J1326-4728H,globular_cluster,Omega Centauri (NGC 5139),0.00252043,3.9874e-20,1.5820316374586876e-17,-16.800784835733197,-2.5985254,-10.998918
J1326-4728K,globular_cluster,Omega Centauri (NGC 5139),0.0047158,-9.0847e-21,-1.9264387802705797e-18,-17.715244787747853,-2.3264446,-11.184067
J1342+2822A,globular_cluster,M3 (NGC 5272),0.00254474,-1.0169e-20,-3.996086044153823e-18,-17.398365169069958,-2.5943566,-11.293539
J1342+2822B,globular_cluster,M3 (NGC 5272),0.00238942,1.8694e-20,7.823655949979493e-18,-17.106590256164058,-2.6217075,-11.175003
J1342+2822D,globular_cluster,M3 (NGC 5272),0.00544298,2.08e-20,3.821436051574689e-18,-17.417773403560524,-2.2641633,-10.97305
J1342+2822E,globular_cluster,M3 (NGC 5272),0.00547287,-1.05e-21,-1.9185546157683263e-19,-18.71702583316663,-2.2617849,-11.620298
J1342+2822F,globular_cluster,M3 (NGC 5272),0.00440381,3.1224e-20,7.090224146818324e-18,-17.14934003503025,-2.3561714,-10.930841
B1516+02A,globular_cluster,M5 (NGC 5904),0.00555359,4.12985e-20,7.436360984516323e-18,-17.12863953635868,-2.2554262,-10.819746
B1516+02B,globular_cluster,M5 (NGC 5904),0.00794694,-3.308e-21,-4.1626085008821008e-19,-18.38063443319247,-2.0998001,-11.290117
J1518+0204C,globular_cluster,M5 (NGC 5904),0.00248393,2.60791e-20,1.0499128397338089e-17,-16.97884675311466,-2.6048606,-11.094284
J1518+0204D,globular_cluster,M5 (NGC 5904),0.00298798,2.21796e-20,7.42294125128013e-18,-17.12942397664869,-2.5246223,-11.089334
J1518+0204E,globular_cluster,M5 (NGC 5904),0.0031823,1.7939e-20,5.637117807874807e-18,-17.248942888937957,-2.4972589,-11.12173
J1518+0204F,globular_cluster,M5 (NGC 5904),0.00265419,2.21e-20,8.326457412619293e-18,-17.07953973489532,-2.576068,-11.115838
J1518+0204G,globular_cluster,M5 (NGC 5904),0.00275019,1.247e-20,4.5342321803220865e-18,-17.343496245115773,-2.5606373,-11.232385
J1617-2258A,globular_cluster,M80 (NGC 6093),0.00431831,6.1e-20,1.4125896473388898e-17,-16.84998398095337,-2.3646862,-10.789678
B1620-26,globular_cluster,M4 (NGC 6121),0.0110758,-5.4693e-20,-4.938063164737536e-18,-17.30644335913444,-1.9556249,-10.608847
