source,environment,cluster,name,P0_s,P_ms,P1_sps,assoc,logP,logPdot_abs,log_b_proxy,log_tau_c
freire,globular_cluster,47 Tuc (NGC 104),J0023-7204C,0.00575678,5.75678,-4.985e-20,47 Tuc (NGC 104),-2.2398204,-19.302335,-10.771078,16.761484
freire,globular_cluster,47 Tuc (NGC 104),J0024-7204D,0.00535757,5.35757,-3.429e-21,47 Tuc (NGC 104),-2.2710321,-20.464833,-11.367932,17.89277
freire,globular_cluster,47 Tuc (NGC 104),J0024-7205E,0.00353633,3.53633,9.851e-20,47 Tuc (NGC 104),-2.4514472,-19.00652,-10.728983,16.254042
freire,globular_cluster,47 Tuc (NGC 104),J0024-7204F,0.00262358,2.62358,6.45e-20,47 Tuc (NGC 104),-2.5811057,-19.19044,-10.885773,16.308305
freire,globular_cluster,47 Tuc (NGC 104),J0024-7204G,0.00404038,4.04038,-4.215e-20,47 Tuc (NGC 104),-2.3935778,-19.375202,-10.88439,16.680595
freire,globular_cluster,47 Tuc (NGC 104),J0024-7204H,0.00321034,3.21034,-1.83e-21,47 Tuc (NGC 104),-2.493449,-20.737549,-11.615499,17.94307
freire,globular_cluster,47 Tuc (NGC 104),J0024-7204I,0.00348499,3.48499,-4.587e-20,47 Tuc (NGC 104),-2.4577985,-19.338471,-10.898135,16.579643
freire,globular_cluster,47 Tuc (NGC 104),J0023-7203J,0.00210063,2.10063,-9.7922e-21,47 Tuc (NGC 104),-2.6776504,-20.00912,-11.343385,17.030439
freire,globular_cluster,47 Tuc (NGC 104),J0024-7204L,0.00434617,4.34617,-1.2206e-19,47 Tuc (NGC 104),-2.3618933,-18.913427,-10.63766,16.250503
freire,globular_cluster,47 Tuc (NGC 104),J0023-7205M,0.00367664,3.67664,-3.844e-20,47 Tuc (NGC 104),-2.4345489,-19.415217,-10.924883,16.679638
freire,globular_cluster,47 Tuc (NGC 104),J0024-7204N,0.00305395,3.05395,-2.187e-20,47 Tuc (NGC 104),-2.5151381,-19.660151,-11.087645,16.843983
freire,globular_cluster,47 Tuc (NGC 104),J0024-7204O,0.00264334,2.64334,3.0354e-20,47 Tuc (NGC 104),-2.577847,-19.517784,-11.047816,16.638907
freire,globular_cluster,47 Tuc (NGC 104),J0024-7204Q,0.00403318,4.03318,3.402e-20,47 Tuc (NGC 104),-2.3943524,-19.468266,-10.931309,16.772883
