source,environment,cluster,name,P_ms,P1_sps,logP,logPdot_abs,log_b_proxy
freire,globular_cluster,47 Tuc (NGC 104),J0023-7204C,5.7568,-4.9850e-20,-2.2398,-19.3023,-10.7711
freire,globular_cluster,47 Tuc (NGC 104),J0024-7204D,5.3576,-3.4290e-21,-2.2710,-20.4648,-11.3679
freire,globular_cluster,47 Tuc (NGC 104),J0024-7205E,3.5363,9.8510e-20,-2.4514,-19.0065,-10.7290
freire,globular_cluster,47 Tuc (NGC 104),J0024-7204F,2.6236,6.4500e-20,-2.5811,-19.1904,-10.8858
freire,globular_cluster,47 Tuc (NGC 104),J0024-7204G,4.0404,-4.2150e-20,-2.3936,-19.3752,-10.8844
freire,globular_cluster,47 Tuc (NGC 104),J0024-7204H,3.2103,-1.8300e-21,-2.4934,-20.7375,-11.6155
freire,globular_cluster,47 Tuc (NGC 104),J0024-7204I,3.4850,-4.5870e-20,-2.4578,-19.3385,-10.8981
freire,globular_cluster,47 Tuc (NGC 104),J0024-7204L,4.3462,-1.2206e-19,-2.3619,-18.9134,-10.6377
freire,globular_cluster,47 Tuc (NGC 104),J0023-7205M,3.6766,-3.8440e-20,-2.4345,-19.4152,-10.9249
freire,globular_cluster,47 Tuc (NGC 104),J0024-7204N,3.0539,-2.1870e-20,-2.5151,-19.6602,-11.0876
freire,globular_cluster,47 Tuc (NGC 104),J0024-7204O     0.06,3.0354,2.4363e-19,-2.5178,-18.6133,-10.5655
freire,globular_cluster,47 Tuc (NGC 104),J0024-7204Q,4.0332,3.4020e-20,-2.3944,-19.4683,-10.9313
freire,globular_cluster,47 Tuc (NGC 104),J0024-7204R,3.4805,1.4837e-19,-2.4584,-18.8287,-10.6435
freire,globular_cluster,47 Tuc (NGC 104),J0024-7204S,2.8304,-2.0540e-20,-2.5482,-19.6874,-11.1178
freire,globular_cluster,47 Tuc (NGC 104),J0024-7204T,7.5885,2.9370e-19,-2.1198,-18.5321,-10.3260
freire,globular_cluster,47 Tuc (NGC 104),J0024-7203U,4.3428,9.5230e-20,-2.3622,-19.0212,-10.6917
freire,globular_cluster,47 Tuc (NGC 104),J0024-7204W,2.3523,-8.6553e-20,-2.6285,-19.0627,-10.8456
freire,globular_cluster,47 Tuc (NGC 104),J0024-7201X,4.7715,1.8361e-20,-2.3213,-19.7361,-11.0287
freire,globular_cluster,47 Tuc (NGC 104),J0024-7204Y,2.1967,-3.5172e-20,-2.6582,-19.4538,-11.0560
freire,globular_cluster,47 Tuc (NGC 104),J0024-7204Z,4.5545,-4.5600e-21,-2.3416,-20.3410,-11.3413
freire,globular_cluster,47 Tuc (NGC 104),J0024-7204aa,3.6908,-9.1780e-20,-2.4329,-19.0373,-10.7351
freire,globular_cluster,47 Tuc (NGC 104),J0024-7204ab,3.7046,9.8440e-21,-2.4313,-20.0068,-11.2190
freire,globular_cluster,NGC 1851,J0514-4002A,4.9906,2.3540e-20,-2.3018,-19.6282,-10.9650
freire,globular_cluster,NGC 1851,J0514-4002E,5.5960,1.9328e-19,-2.2521,-18.7138,-10.4830
freire,globular_cluster,M53 (NGC 5024),J1312+1810B,6.2423,-1.7460e-20,-2.2047,-19.7580,-10.9813
freire,globular_cluster,M53 (NGC 5024),J1312+1810C,12.5351,5.2600e-20,-1.9019,-19.2790,-10.5904
freire,globular_cluster,M53 (NGC 5024),J1312+1810D,6.0697,2.2600e-20,-2.2168,-19.6459,-10.9314
freire,globular_cluster,M53 (NGC 5024),J1312+1810E,3.9721,-7.5800e-21,-2.4010,-20.1203,-11.2607
freire,globular_cluster,Omega Centauri (NGC 5139),J1326-4728A,4.1088,2.7380e-20,-2.3863,-19.5626,-10.9744
freire,globular_cluster,Omega Centauri (NGC 5139),J1326-4728B,4.7919,-5.4330e-20,-2.3195,-19.2650,-10.7922
freire,globular_cluster,Omega Centauri (NGC 5139),J1326-4728C,6.8679,9.8000e-21,-2.1632,-20.0088,-11.0860
freire,globular_cluster,Omega Centauri (NGC 5139),J1326-4728D,4.5788,-4.1100e-20,-2.3392,-19.3862,-10.8627
freire,globular_cluster,Omega Centauri (NGC 5139),J1326-4728E,4.2077,1.6280e-20,-2.3760,-19.7883,-11.0821
freire,globular_cluster,M3 (NGC 5272),J1342+2822B,1.8694,2.6151e-19,-2.7283,-18.5825,-10.6554
freire,globular_cluster,M3 (NGC 5272),J1342+2822D,2.0800,2.6368e-19,-2.6819,-18.5789,-10.6304
freire,globular_cluster,M3 (NGC 5272),J1342+2822F,3.1224,2.6436e-19,-2.5055,-18.5778,-10.5417
freire,globular_cluster,M5 (NGC 5904),B1516+02A,5.5536,4.1299e-20,-2.2554,-19.3841,-10.8197
freire,globular_cluster,M5 (NGC 5904),B1516+02B,7.9469,-3.3080e-21,-2.0998,-20.4804,-11.2901
freire,globular_cluster,M5 (NGC 5904),J1518+0204C,2.4839,2.6079e-20,-2.6049,-19.5837,-11.0943
freire,globular_cluster,M5 (NGC 5904),J1518+0204D,2.9880,2.2180e-20,-2.5246,-19.6540,-11.0893
freire,globular_cluster,M5 (NGC 5904),J1518+0204E,3.1823,1.7939e-20,-2.4973,-19.7462,-11.1217
freire,globular_cluster,M5 (NGC 5904),J1518+0204F,2.6542,2.2100e-20,-2.5761,-19.6556,-11.1158
freire,globular_cluster,M5 (NGC 5904),J1518+0204G,2.7502,1.2470e-20,-2.5606,-19.9041,-11.2324
freire,globular_cluster,M80 (NGC 6093),J1617-2258A,4.3183,6.1000e-20,-2.3647,-19.2147,-10.7897
freire,globular_cluster,M4 (NGC 6121),B1620-26,11.0758,-5.4693e-20,-1.9556,-19.2621,-10.6088
freire,globular_cluster,M13 (NGC 6205),B1639+36A,10.3775,-7.3000e-21,-1.9839,-20.1367,-11.0603
freire,globular_cluster,M13 (NGC 6205),B1639+36B,3.5281,-1.0000e-22,-2.4525,-22.0000,-12.2262
freire,globular_cluster,M13 (NGC 6205),J1641+3627C,3.7221,1.2300e-21,-2.4292,-20.9101,-11.6697
freire,globular_cluster,M13 (NGC 6205),J1641+3627D,3.1183,-2.3600e-20,-2.5061,-19.6271,-11.0666
freire,globular_cluster,M13 (NGC 6205),J1641+3627E,2.4870,1.7500e-20,-2.6043,-19.7570,-11.1806
freire,globular_cluster,M13 (NGC 6205),J1641+3627F,3.0035,1.4000e-20,-2.5224,-19.8539,-11.1881
freire,globular_cluster,M13 (NGC 6205),J1641+3627G,4.3236,-6.6330e-21,-2.3642,-20.1783,-11.2712
freire,globular_cluster,M13 (NGC 6205),J1641+3627I,6.3752,2.2660e-18,-2.1955,-17.6447,-9.9201
freire,globular_cluster,M62 (NGC 6266),J1701-3006A,5.2416,-1.3170e-19,-2.2805,-18.8804,-10.5805
freire,globular_cluster,M62 (NGC 6266),J1701-3006B,3.5939,-3.4962e-19,-2.4444,-18.4564,-10.4504
freire,globular_cluster,M62 (NGC 6266),J1701-3006C,7.6128,-6.3325e-20,-2.1185,-19.1984,-10.6584
freire,globular_cluster,M62 (NGC 6266),J1701-3006D,3.4178,1.3564e-19,-2.4663,-18.8676,-10.6669
freire,globular_cluster,M62 (NGC 6266),J1701-3006E,3.2337,3.0744e-19,-2.4903,-18.5122,-10.5013
freire,globular_cluster,M62 (NGC 6266),J1701-3006F,2.2947,2.2077e-19,-2.6393,-18.6561,-10.6477
freire,globular_cluster,M62 (NGC 6266),J1701-3006G,4.6081,-1.1457e-19,-2.3365,-18.9409,-10.6387
freire,globular_cluster,M62 (NGC 6266),J1701-3006H,3.7048,3.7890e-20,-2.4312,-19.4215,-10.9264
freire,globular_cluster,M62 (NGC 6266),J1701-3006I,3.2956,-3.3725e-19,-2.4821,-18.4720,-10.4771
freire,globular_cluster,M92 (NGC 6341),J1717+4308A,3.1597,6.1185e-20,-2.5004,-19.2134,-10.8569
freire,globular_cluster,Terzan 1,J1735-3028B,11.1366,-8.9500e-18,-1.9532,-17.0482,-9.5007
freire,globular_cluster,Terzan 1,J1735-3028C,6.0388,-4.4300e-20,-2.2190,-19.3536,-10.7863
freire,globular_cluster,Terzan 1,J1735-3028D,5.3864,2.7700e-18,-2.2687,-17.5575,-9.9131
freire,globular_cluster,Terzan 1,J1735-3028E,3.0783,5.5900e-19,-2.5117,-18.2526,-10.3821
freire,globular_cluster,Terzan 1,J1735-3028F,5.2138,-2.0500e-18,-2.2828,-17.6882,-9.9855
freire,globular_cluster,Terzan 1,J1735-3028G,3.9179,1.3800e-19,-2.4069,-18.8601,-10.6335
freire,globular_cluster,M14 (NGC 6402),J1737-0314A,1.9800,9.5500e-20,-2.7033,-19.0200,-10.8617
freire,globular_cluster,NGC 6397,J1740-5340,3.6503,1.6800e-19,-2.4377,-18.7747,-10.6062
freire,globular_cluster,NGC 6397,J1740-5340B,5.7870,-6.0000e-21,-2.2375,-20.2218,-11.2297
freire,globular_cluster,Terzan 5,J1748-2446A,11.5632,-2.9000e-20,-1.9369,-19.5376,-10.7373
freire,globular_cluster,Terzan 5,J1748-2446C,8.4361,-6.0600e-19,-2.0739,-18.2175,-10.1457
freire,globular_cluster,Terzan 5,J1748-2446D,4.7140,1.3000e-19,-2.3266,-18.8861,-10.6063
freire,globular_cluster,Terzan 5,J1748-2446E,2.1978,-1.8000e-20,-2.6580,-19.7447,-11.2014
freire,globular_cluster,Terzan 5,J1748-2446F,5.5401,4.0000e-21,-2.2565,-20.3979,-11.3272
freire,globular_cluster,Terzan 5,J1748-2446G,21.6719,3.9000e-19,-1.6641,-18.4089,-10.0365
freire,globular_cluster,Terzan 5,J1748-2446H,4.9259,-8.3000e-20,-2.3075,-19.0809,-10.6942
freire,globular_cluster,Terzan 5,J1748-2446I,9.5702,-7.1000e-20,-2.0191,-19.1487,-10.5839
freire,globular_cluster,Terzan 5,J1748-2446K,2.9697,-9.4000e-20,-2.5273,-19.0269,-10.7771
freire,globular_cluster,Terzan 5,J1748-2446L,2.2447,-1.7000e-20,-2.6488,-19.7696,-11.2092
freire,globular_cluster,Terzan 5,J1748-2446M,3.5696,4.9000e-19,-2.4474,-18.3098,-10.3786
freire,globular_cluster,Terzan 5,J1748-2446N,8.6669,5.5000e-19,-2.0621,-18.2596,-10.1609
freire,globular_cluster,Terzan 5,J1748-2446O,1.6766,-6.9000e-20,-2.7756,-19.1612,-10.9684
freire,globular_cluster,Terzan 5,J1748-2446P,1.7286,2.6000e-19,-2.7623,-18.5850,-10.6737
freire,globular_cluster,Terzan 5,J1748-2446Q,2.8120,-3.6000e-20,-2.5510,-19.4437,-10.9973
freire,globular_cluster,Terzan 5,J1748-2446R,5.0285,4.7000e-19,-2.2986,-18.3279,-10.3132
freire,globular_cluster,Terzan 5,J1748-2446S,6.1166,6.4000e-20,-2.2135,-19.1938,-10.7037
freire,globular_cluster,Terzan 5,J1748-2446T,7.0849,3.1000e-19,-2.1497,-18.5086,-10.3292
freire,globular_cluster,Terzan 5,J1748-2446U,3.2891,3.0000e-19,-2.4829,-18.5229,-10.5029
freire,globular_cluster,Terzan 5,J1748-2446V,2.0725,-9.5000e-20,-2.6835,-19.0223,-10.8529
freire,globular_cluster,Terzan 5,J1748-2446W,4.2052,1.2000e-19,-2.3762,-18.9208,-10.6485
freire,globular_cluster,Terzan 5,J1748-2446X,2.9993,5.9000e-20,-2.5230,-19.2291,-10.8761
freire,globular_cluster,Terzan 5,J1748-2446Y,2.0482,1.5000e-19,-2.6886,-18.8239,-10.7563
freire,globular_cluster,Terzan 5,J1748-2446Z,2.4626,-8.6000e-20,-2.6086,-19.0655,-10.8371
freire,globular_cluster,Terzan 5,J1748-2446aa,5.7880,-4.4000e-19,-2.2375,-18.3565,-10.2970
freire,globular_cluster,Terzan 5,J1748-2446ab,5.1197,4.2000e-19,-2.2908,-18.3768,-10.3338
freire,globular_cluster,Terzan 5,J1748-2446ac,5.0869,2.3000e-19,-2.2935,-18.6383,-10.4659
freire,globular_cluster,Terzan 5,J1748-2446ad,1.3960,-3.4000e-20,-2.8551,-19.4685,-11.1618
freire,globular_cluster,Terzan 5,J1748-2446ae,3.6586,-5.7000e-19,-2.4367,-18.2441,-10.3404
freire,globular_cluster,Terzan 5,J1748-2446af,3.3043,-2.3000e-19,-2.4809,-18.6383,-10.5596
freire,globular_cluster,Terzan 5,J1748-2446ag,4.4480,1.2000e-20,-2.3518,-19.9208,-11.1363
freire,globular_cluster,Terzan 5,J1748-2446ah,4.9652,5.7000e-19,-2.3041,-18.2441,-10.2741
freire,globular_cluster,Terzan 5,J1748-2446ai,21.2284,1.4000e-18,-1.6731,-17.8539,-9.7635
freire,globular_cluster,Terzan 5,J1748-2446aj,2.9589,1.4123e-19,-2.5289,-18.8501,-10.6895
freire,globular_cluster,Terzan 5,J1748-2446ak,1.8901,8.8495e-20,-2.7235,-19.0531,-10.8883
freire,globular_cluster,Terzan 5,J1748-2446am,2.9338,-1.3680e-19,-2.5326,-18.8639,-10.6982
freire,globular_cluster,Terzan 5,J1748-2446an,4.8020,1.5575e-19,-2.3186,-18.8076,-10.5631
freire,globular_cluster,Terzan 5,J1748-2446ao,2.2744,8.6979e-20,-2.6431,-19.0606,-10.8519
freire,globular_cluster,Terzan 5,J1748-2446ap,3.7447,3.0700e-19,-2.4266,-18.5129,-10.4697
freire,globular_cluster,Terzan 5,J1748-2446aq,12.5219,-7.1620e-19,-1.9023,-18.1450,-10.0236
freire,globular_cluster,Terzan 5,J1748-2446ar,1.9528,-2.6480e-19,-2.7093,-18.5771,-10.6432
freire,globular_cluster,Terzan 5,J1748-2446as,2.3265,2.5598e-19,-2.6333,-18.5918,-10.6125
freire,globular_cluster,Terzan 5,J1748-2446at,2.1882,-5.8997e-20,-2.6599,-19.2292,-10.9445
freire,globular_cluster,Terzan 5,J1748-2446au,4.5482,-1.0680e-19,-2.3422,-18.9714,-10.6568
freire,globular_cluster,Terzan 5,J1748-2446av,1.8495,-4.2505e-20,-2.7330,-19.3716,-11.0523
freire,globular_cluster,Terzan 5,J1748-2446aw,13.0491,1.3065e-18,-1.8844,-17.8839,-9.8842
freire,globular_cluster,Terzan 5,J1748-2446ax,1.9435,-9.5495e-21,-2.7114,-20.0200,-11.3657
freire,globular_cluster,Terzan 5,J1748-2021H,18.9976,2.2258e-18,-1.7213,-17.6525,-9.6869
